"Home","Away","Field","Age.Group","Gender"
"Carolina Elite Soccer Academy ECNL U15","McLean YSA ECNL U15","Mesa Complex - Field 4","U15","Girls"
"Richmond United ECNL U15","NC Fusion ECNL U15","Ukrop Park - Turf Field 2","U15","Girls"
"NCFC Youth ECNL U15","Carolina Rapids ECNL U15","WRAL Soccer Center - Travers Lasik","U15","Girls"
"South Carolina United ECNL U15","BRYC Elite Academy ECNL U15","SCUFC Monticello Road Complex - Stadium B","U15","Girls"
"Carolina Rapids ECNL U16","Carolina Elite Soccer Academy ECNL U16","Matthews Sportsplex - Field 7","U16","Girls"
"Richmond United ECNL U16","BRYC Elite Academy ECNL U16","West Creek - Field 8","U16","Girls"
"BRYC Elite Academy ECNL U16","McLean YSA ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"NCFC Youth ECNL U16","Richmond United ECNL U16","WRAL Soccer Center - Powerade #3","U16","Girls"
"NC Fusion ECNL U16","Carolina Rapids ECNL U16","BBandT Soccer Park - Field 5","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","South Carolina United ECNL U16","Mesa Complex - Field 5","U16","Girls"
"Carolina Rapids ECNL U16","South Carolina United ECNL U16","Matthews Sportsplex - Field 8","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","NC Fusion ECNL U16","Mesa Complex - Field 5","U16","Girls"
"NCFC Youth ECNL U16","BRYC Elite Academy ECNL U16","WRAL Soccer Center - Stadium","U16","Girls"
"Richmond United ECNL U16","McLean YSA ECNL U16","West Creek - Field 10","U16","Girls"
"NC Fusion ECNL U16","South Carolina United ECNL U16","BP Field - BP 03 Wrangler","U16","Girls"
"BRYC Elite Academy ECNL U16","Richmond United ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","Carolina Rapids ECNL U16","Mesa Complex - Field 5","U16","Girls"
"NCFC Youth ECNL U16","McLean YSA ECNL U16","WRAL Soccer Center - Stadium","U16","Girls"
"McLean YSA ECNL U16","Carolina Rapids ECNL U16","Lewinsville Park - Field 2","U16","Girls"
"BRYC Elite Academy ECNL U16","NC Fusion ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","Richmond United ECNL U16","Mesa Complex - Field 5","U16","Girls"
"South Carolina United ECNL U16","NCFC Youth ECNL U16","SCUFC Monticello Road Complex - Stadium A","U16","Girls"
"McLean YSA ECNL U16","NC Fusion ECNL U16","Lewinsville Park - Field 2","U16","Girls"
"BRYC Elite Academy ECNL U16","Carolina Rapids ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","NCFC Youth ECNL U16","Mesa Complex - Field 5","U16","Girls"
"South Carolina United ECNL U16","Richmond United ECNL U16","SCUFC Monticello Road Complex - Stadium A","U16","Girls"
"McLean YSA ECNL U16","Carolina Elite Soccer Academy ECNL U16","Lewinsville Park - Field 2","U16","Girls"
"BRYC Elite Academy ECNL U16","South Carolina United ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"NC Fusion ECNL U16","Richmond United ECNL U16","BBandT Soccer Park - Field 5","U16","Girls"
"BRYC Elite Academy ECNL U16","Carolina Elite Soccer Academy ECNL U16","Robinson High School - Upper Turf","U16","Girls"
"Carolina Rapids ECNL U16","Richmond United ECNL U16","Matthews Sportsplex - Field 8","U16","Girls"
"McLean YSA ECNL U16","South Carolina United ECNL U16","Spring Hill Rec Center - Field 5","U16","Girls"
"NC Fusion ECNL U16","NCFC Youth ECNL U16","BP Field - BP 08 Secret","U16","Girls"
"BRYC Elite Academy ECNL U16","NCFC Youth ECNL U16","Woodson High School - Stadium Turf","U16","Girls"
"McLean YSA ECNL U16","Richmond United ECNL U16","Lewinsville Park - Field 2","U16","Girls"
"NC Fusion ECNL U16","Carolina Elite Soccer Academy ECNL U16","BP Field - BP 07","U16","Girls"
"South Carolina United ECNL U16","Carolina Rapids ECNL U16","SCUFC Monticello Road Complex - Stadium A","U16","Girls"
"Richmond United ECNL U16","Carolina Elite Soccer Academy ECNL U16","River City Sportsplex - Field 12","U16","Girls"
"NCFC Youth ECNL U16","South Carolina United ECNL U16","Bryan Park - Field 11","U16","Girls"
"Carolina Rapids ECNL U16","BRYC Elite Academy ECNL U16","Bailey Road Park - Field 1 (upper)","U16","Girls"
"NC Fusion ECNL U16","McLean YSA ECNL U16","BP Field - BP 02 Triton Management","U16","Girls"
"Carolina Rapids ECNL U16","McLean YSA ECNL U16","Ramblewood - Field 9","U16","Girls"
"NCFC Youth ECNL U16","Carolina Elite Soccer Academy ECNL U16","Bryan Park - Field 10","U16","Girls"
"Richmond United ECNL U16","South Carolina United ECNL U16","River City Sportsplex - Field 12","U16","Girls"
"NC Fusion ECNL U16","BRYC Elite Academy ECNL U16","BP Field - BP 02 Triton Management","U16","Girls"
"Carolina Rapids ECNL U16","NC Fusion ECNL U16","Bailey Road Park - Field 1 (upper)","U16","Girls"
"South Carolina United ECNL U16","Carolina Elite Soccer Academy ECNL U16","River Bluff High School Stadium - Stadium","U16","Girls"
"Richmond United ECNL U16","Carolina Rapids ECNL U16","Ukrop Park - Turf Field 1","U16","Girls"
"South Carolina United ECNL U16","McLean YSA ECNL U16","SCUFC Monticello Road Complex - Stadium A","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","BRYC Elite Academy ECNL U16","Mesa Complex - Field 4","U16","Girls"
"NCFC Youth ECNL U16","NC Fusion ECNL U16","WRAL Soccer Center - Stadium","U16","Girls"
"NCFC Youth ECNL U16","Carolina Rapids ECNL U16","WRAL Soccer Center - Travers Lasik","U16","Girls"
"South Carolina United ECNL U16","BRYC Elite Academy ECNL U16","SCUFC Monticello Road Complex - Stadium A","U16","Girls"
"Carolina Elite Soccer Academy ECNL U16","McLean YSA ECNL U16","Mesa Complex - Field 4","U16","Girls"
