GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US51031020101,51031020101,"Census Tract 201.01, Campbell County, Virginia",55823,6387
1400000US51031020102,51031020102,"Census Tract 201.02, Campbell County, Virginia",45956,5322
1400000US51031020200,51031020200,"Census Tract 202, Campbell County, Virginia",40634,7428
1400000US51031020300,51031020300,"Census Tract 203, Campbell County, Virginia",52593,8383
1400000US51031020401,51031020401,"Census Tract 204.01, Campbell County, Virginia",41394,3250
1400000US51031020402,51031020402,"Census Tract 204.02, Campbell County, Virginia",56436,7939
1400000US51031020403,51031020403,"Census Tract 204.03, Campbell County, Virginia",59000,11795
1400000US51031020500,51031020500,"Census Tract 205, Campbell County, Virginia",47216,6264
1400000US51031020600,51031020600,"Census Tract 206, Campbell County, Virginia",50484,10680
1400000US51031020700,51031020700,"Census Tract 207, Campbell County, Virginia",34250,7883
1400000US51031020800,51031020800,"Census Tract 208, Campbell County, Virginia",39960,5745
1400000US51031020900,51031020900,"Census Tract 209, Campbell County, Virginia",41847,5346
1400000US51033030100,51033030100,"Census Tract 301, Caroline County, Virginia",50076,6755
1400000US51033030201,51033030201,"Census Tract 302.01, Caroline County, Virginia",62153,10505
1400000US51033030202,51033030202,"Census Tract 302.02, Caroline County, Virginia",51514,8081
1400000US51033030300,51033030300,"Census Tract 303, Caroline County, Virginia",50066,7493
1400000US51033030400,51033030400,"Census Tract 304, Caroline County, Virginia",47404,13421
1400000US51033030500,51033030500,"Census Tract 305, Caroline County, Virginia",61778,5272
1400000US51033030600,51033030600,"Census Tract 306, Caroline County, Virginia",61140,8355
1400000US51035080100,51035080100,"Census Tract 801, Carroll County, Virginia",37819,4070
1400000US51035080200,51035080200,"Census Tract 802, Carroll County, Virginia",32326,4105
1400000US51035080300,51035080300,"Census Tract 803, Carroll County, Virginia",36348,8846
1400000US51035080400,51035080400,"Census Tract 804, Carroll County, Virginia",43644,8981
1400000US51035080500,51035080500,"Census Tract 805, Carroll County, Virginia",40761,7838
1400000US51035080601,51035080601,"Census Tract 806.01, Carroll County, Virginia",32250,16315
1400000US51035080602,51035080602,"Census Tract 806.02, Carroll County, Virginia",35603,7838
1400000US51036600100,51036600100,"Census Tract 6001, Charles City County, Virginia",58056,7698
1400000US51036600200,51036600200,"Census Tract 6002, Charles City County, Virginia",52431,3817
1400000US51036600300,51036600300,"Census Tract 6003, Charles City County, Virginia",51838,13772
1400000US51037930100,51037930100,"Census Tract 9301, Charlotte County, Virginia",35453,6590
1400000US51037930200,51037930200,"Census Tract 9302, Charlotte County, Virginia",31539,3597
1400000US51037930300,51037930300,"Census Tract 9303, Charlotte County, Virginia",34102,4231
1400000US51041100106,51041100106,"Census Tract 1001.06, Chesterfield County, Virginia",98393,14950
1400000US51041100107,51041100107,"Census Tract 1001.07, Chesterfield County, Virginia",39567,5302
1400000US51041100205,51041100205,"Census Tract 1002.05, Chesterfield County, Virginia",46270,3508
1400000US51041100206,51041100206,"Census Tract 1002.06, Chesterfield County, Virginia",69279,10052
1400000US51041100208,51041100208,"Census Tract 1002.08, Chesterfield County, Virginia",89583,25569
1400000US51041100209,51041100209,"Census Tract 1002.09, Chesterfield County, Virginia",68269,6232
1400000US51041100210,51041100210,"Census Tract 1002.10, Chesterfield County, Virginia",50417,7391
1400000US51041100300,51041100300,"Census Tract 1003, Chesterfield County, Virginia",38278,4010
1400000US51041100403,51041100403,"Census Tract 1004.03, Chesterfield County, Virginia",80000,13905
1400000US51041100404,51041100404,"Census Tract 1004.04, Chesterfield County, Virginia",26359,5409
1400000US51041100405,51041100405,"Census Tract 1004.05, Chesterfield County, Virginia",39013,4028
1400000US51041100406,51041100406,"Census Tract 1004.06, Chesterfield County, Virginia",22258,5392
1400000US51041100407,51041100407,"Census Tract 1004.07, Chesterfield County, Virginia",48727,4586
1400000US51041100409,51041100409,"Census Tract 1004.09, Chesterfield County, Virginia",70757,5134
1400000US51041100410,51041100410,"Census Tract 1004.10, Chesterfield County, Virginia",43869,6552
1400000US51041100505,51041100505,"Census Tract 1005.05, Chesterfield County, Virginia",72778,11161
1400000US51041100506,51041100506,"Census Tract 1005.06, Chesterfield County, Virginia",60521,20046
1400000US51041100507,51041100507,"Census Tract 1005.07, Chesterfield County, Virginia",92851,8052
1400000US51041100508,51041100508,"Census Tract 1005.08, Chesterfield County, Virginia",62585,7823
1400000US51041100509,51041100509,"Census Tract 1005.09, Chesterfield County, Virginia",86750,10055
1400000US51041100510,51041100510,"Census Tract 1005.10, Chesterfield County, Virginia",73214,8370
1400000US51041100600,51041100600,"Census Tract 1006, Chesterfield County, Virginia",46563,2827
