"Team","Age Group","Gender"
"Dallas Texans U-13 Boys","U13","Boys"
"Dallas Texans U-14 Boys","U14","Boys"
"Dallas Texans U-15 Boys","U15","Boys"
"Dallas Texans U-16/17 Boys","U17","Boys"
"Dallas Texans U-18/19 Boys","U19","Boys"
"De Anza Force U-12 Boys","U12","Boys"
"De Anza Force U-13 Boys","U13","Boys"
"De Anza Force U-14 Boys","U14","Boys"
"De Anza Force U-15 Boys","U15","Boys"
"De Anza Force U-16/17 Boys","U17","Boys"
"De Anza Force U-18/19 Boys","U19","Boys"
"Discoveries Soccer Club U-12 Boys","U12","Boys"
"Discoveries Soccer Club U-13 Boys","U13","Boys"
"Discoveries Soccer Club U-14 Boys","U14","Boys"
"Eastside FC U-12 Boys","U12","Boys"
"Eastside FC U-13 Boys","U13","Boys"
"Eastside FC U-14 Boys","U14","Boys"
"Eastside Timbers U-12 Boys","U12","Boys"
"Eastside Timbers U-13 Boys","U13","Boys"
"Eastside Timbers U-14 Boys","U14","Boys"
"EBU Bay Oaks U-12 Boys","U12","Boys"
"EBU Bay Oaks U-13 Boys","U13","Boys"
"EBU Bay Oaks U-14 Boys","U14","Boys"
"Elk Grove Soccer U-12 Boys","U12","Boys"
"Empire United U-13 Boys","U13","Boys"
"Empire United U-14 Boys","U14","Boys"
"Empire United U-15 Boys","U15","Boys"
"Empire United U-16/17 Boys","U17","Boys"
"Empire United U-18/19 Boys","U19","Boys"
"FC Boulder U-12 Boys","U12","Boys"
"FC Boulder U-13 Boys","U13","Boys"
"FC Boulder U-14 Boys","U14","Boys"
"FC Dallas U-12 Boys","U12","Boys"
"FC Dallas U-13 Boys","U13","Boys"
"FC Dallas U-14 Boys","U14","Boys"
"FC Dallas U-15 Boys","U15","Boys"
"FC Dallas U-16/17 Boys","U17","Boys"
"FC Dallas U-18/19 Boys","U19","Boys"
"FC Golden State U-12 Boys","U12","Boys"
"FC Golden State U-13 Boys","U13","Boys"
"FC Golden State U-14 Boys","U14","Boys"
"FC Golden State U-15 Boys","U15","Boys"
"FC Golden State U-16/17 Boys","U17","Boys"
"FC Golden State U-18/19 Boys","U19","Boys"
"FC Greater Boston Bolts U-12 Boys","U12","Boys"
"FC Greater Boston Bolts U-13 Boys","U13","Boys"
"FC Greater Boston Bolts U-14 Boys","U14","Boys"
"FC Greater Boston Bolts U-15 Boys","U15","Boys"
"FC Greater Boston Bolts U-16/17 Boys","U17","Boys"
"FC Greater Boston Bolts U-18/19 Boys","U19","Boys"
"FC Portland Academy U-12 Boys","U12","Boys"
"FC Portland Academy U-13 Boys","U13","Boys"
"FC Portland Academy U-14 Boys","U14","Boys"
"FC United Soccer Club U-12 Boys","U12","Boys"
"FC United Soccer Club U-13 Boys","U13","Boys"
"FC United Soccer Club U-14 Boys","U14","Boys"
"FC United Soccer Club U-15 Boys","U15","Boys"
"FC United Soccer Club U-16/17 Boys","U17","Boys"
"FC United Soccer Club U-18/19 Boys","U19","Boys"
"FC Westchester Armour U-12 Boys","U12","Boys"
"FC Westchester Armour U-13 Boys","U13","Boys"
"FC Westchester Armour U-14 Boys","U14","Boys"
"FC Westchester Armour U-15 Boys","U15","Boys"
"FC Westchester Armour U-16/17 Boys","U17","Boys"
"FC Westchester Armour U-18/19 Boys","U19","Boys"
"Florida Rush Soccer Club U-12 Boys","U12","Boys"
"Florida Rush Soccer Club U-13 Boys","U13","Boys"
"Florida Rush Soccer Club U-14 Boys","U14","Boys"
"Fort Wayne United FC U-12 Boys","U12","Boys"
"Global Premier Soccer U-12 Boys","U12","Boys"
"Greater Seattle Surf U-12 Boys","U12","Boys"
"Greater Seattle Surf U-13 Boys","U13","Boys"
"Greater Seattle Surf U-14 Boys","U14","Boys"
"Houston Dynamo U-12 Boys","U12","Boys"
"Houston Dynamo U-13 Boys","U13","Boys"
"Houston Dynamo U-14 Boys","U14","Boys"
"Houston Dynamo U-15 Boys","U15","Boys"
"Houston Dynamo U-16/17 Boys","U17","Boys"
"Houston Dynamo U-18/19 Boys","U19","Boys"
"Houston Dynamo Youth U-12 Boys","U12","Boys"
"Houston Dynamo Youth U-13 Boys","U13","Boys"
"Houston Dynamo Youth U-14 Boys","U14","Boys"
"Houston Dynamo Youth U-15 Boys","U15","Boys"
"Houston Dynamo Youth U-16/17 Boys","U17","Boys"
"Houston Dynamo Youth U-18/19 Boys","U19","Boys"
"IMG Academy U-12 Boys","U12","Boys"
"IMG Academy U-13 Boys","U13","Boys"
"IMG Academy U-14 Boys","U14","Boys"
"IMG Academy U-15 Boys","U15","Boys"
"IMG Academy U-16/17 Boys","U17","Boys"
"IMG Academy U-18/19 Boys","U19","Boys"
