"Home","Away","Age.Group","Field","Gender"
"Fredericksburg FC 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","FCSC United 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","FCSC United 2007 U11 Female CCL II","U11","","Girls"
"Ellicott City 2002 U16 Female CCL II","Loudoun 2002 U16 Female CCL II","U16","","Girls"
"SYC 2002 U16 Female CCL II","LMVSC 2002 U16 Female CCL II","U16","","Girls"
"Ellicott City 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","Fredericksburg FC 2003 U15 Female CCL II","U15","","Girls"
"SYA 2004 U14 Female CCL II","FC Frederick 2004 U14 Female CCL II","U14","","Girls"
"McLean 2004 U14 Female CCL II","Loudoun 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2005 U13 Female CCL II","NVSC 2005 U13 Female CCL II","U13","","Girls"
"Ellicott City 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"Ellicott City 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Potomac 2003 U15 Female CCL II","Ellicott City 2003 U15 Female CCL II","U15","","Girls"
"NVSC 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"LMVSC 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"FCSC United 2002 U16 Male CCL II","LMVSC 2002 U16 Male CCL II","U16","","Boys"
"FCSC United 2002 U16 Female CCL II","LMVSC 2002 U16 Female CCL II","U16","","Girls"
"SYA 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","LMVSC 2003 U15 Female CCL II","U15","","Girls"
"DC Stoddert 2004 U14 Female CCL II","McLean 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","Fredericksburg FC 2004 U14 Female CCL II","U14","","Girls"
"Ellicott City 2005 U13 Female CCL II","LMVSC 2005 U13 Female CCL II","U13","","Girls"
"FC Frederick 2005 U13 Female CCL II","FCSC United 2005 U13 Female CCL II","U13","","Girls"
"SYA 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"SYA 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"McLean 2002 U16 Female CCL II","Fredericksburg FC 2002 U16 Female CCL II","U16","","Girls"
"Fredericksburg FC 2003 U15 Male CCL II","FC Frederick 2003 U15 Male CCL II","U15","","Boys"
"NVSC 2003 U15 Female CCL II","Ellicott City 2003 U15 Female CCL II","U15","","Girls"
"McLean 2004 U14 Female CCL II","Potomac 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","SYC 2004 U14 Female CCL II","U14","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","FC Frederick 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","FC Frederick 2007 U11 Female CCL II","U11","","Girls"
"FCSC United 2002 U16 Male CCL II","McLean 2002 U16 Male CCL II","U16","","Boys"
"NVSC 2002 U16 Female CCL II","SYA 2002 U16 Female CCL II","U16","","Girls"
"DC Stoddert 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","SYA 2003 U15 Female CCL II","U15","","Girls"
"FC Frederick 2003 U15 Female CCL II","NVSC 2003 U15 Female CCL II","U15","","Girls"
"Ellicott City 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2004 U14 Female CCL II","McLean 2004 U14 Female CCL II","U14","","Girls"
"FCSC United 2005 U13 Female CCL II","McLean 2005 U13 Female CCL II","U13","","Girls"
"DC Stoddert 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"DC Stoddert 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Fredericksburg FC 2003 U15 Male CCL II","SYC 2003 U15 Male CCL II","U15","","Boys"
"Ellicott City 2003 U15 Female CCL II","FCSC United 2003 U15 Female CCL II","U15","","Girls"
"McLean 2004 U14 Female CCL II","SYA 2004 U14 Female CCL II","U14","","Girls"
"Fredericksburg FC 2007 U11 Male CCL II","SYC 2007 U11 Male CCL II","U11","","Boys"
"Fredericksburg FC 2007 U11 Female CCL II","SYC 2007 U11 Female CCL II","U11","","Girls"
"NVSC 2003 U15 Male CCL II","Fredericksburg FC 2003 U15 Male CCL II","U15","","Boys"
"McLean 2004 U14 Female CCL II","SYC 2004 U14 Female CCL II","U14","","Girls"
"SYA 2004 U14 Female CCL II","LMVSC 2004 U14 Female CCL II","U14","","Girls"
"NVSC 2007 U11 Male CCL II","Fredericksburg FC 2007 U11 Male CCL II","U11","","Boys"
"NVSC 2007 U11 Female CCL II","Fredericksburg FC 2007 U11 Female CCL II","U11","","Girls"
"Ellicott City 2003 U15 Male CCL II","FCSC United 2003 U15 Male CCL II","U15","","Boys"
"FCSC United 2005 U13 Female CCL II","Ellicott City 2005 U13 Female CCL II","U13","","Girls"
"Ellicott City 2002 U16 Female CCL II","FC Frederick 2002 U16 Female CCL II","U16","","Girls"
