"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51015070200",96.6393674103361,3.36063258966394,0.677774639932223,0,0,0,2.68285794973171,9.9,62803,"$50,000-74,999"
"51015070300",92.6256077795786,7.37439222042139,1.13452188006483,0,0,0,4.47325769854133,7.3,66171,"$50,000-74,999"
"51015070400",93.988180150805,6.01181984919503,2.50662319135928,0,0.285306704707561,0.489097208070104,1.91563073160791,21.8,52879,"$50,000-74,999"
"51015070500",95.4383464005702,4.56165359942979,3.08267997148966,0,0.0178189593727726,0,0.213827512473272,13.5,56837,"$50,000-74,999"
"51015070600",89.9653979238754,10.0346020761246,4.7499213589179,0.262136940337632,1.65670546293384,0,2.14952291076859,1.3,62675,"$50,000-74,999"
"51015070700",93.5610640870617,6.43893591293833,2.69044740024184,0.64993954050786,0,0,1.90447400241838,11.1,55757,"$50,000-74,999"
"51015070800",92.9984779299848,7.00152207001522,1.60662946051074,0,2.87502113986132,0,0.879418231016404,4.8,59951,"$50,000-74,999"
"51015070900",91.4920368818106,8.50796311818944,6.22380553227158,0,0,0,1.57166806370495,11.2,54480,"$50,000-74,999"
"51015071000",95.0749464668094,4.92505353319058,3.15845824411135,0,0,0.749464668094218,0.892219842969308,6.5,49833,"$25,000-49,999"
"51015071101",87.241985068072,12.758014931928,3.40360122968819,0,0,0,5.73122529644269,34.2,43869,"$25,000-49,999"
"51015071102",96.654332408264,3.34566759173605,0.154178230033919,1.18717237126118,0,0,2.00431699044095,7,57171,"$50,000-74,999"
"51015071200",91.3079198159711,8.69208018402892,2.74400262898455,0,1.24876766348998,0,4.0749260598094,14,58093,"$50,000-74,999"
"51017920100",91.6630100921457,8.33698990785432,2.10618692408951,0,0,0,3.00570425625274,11,44985,"$25,000-49,999"
"51019030101",92.0935080405003,7.90649195949971,3.85646217986897,0.506253722453842,0.789160214413341,0,1.72721858248958,1.9,75833,"$75,000-99,999"
"51019030103",86.5456821026283,13.4543178973717,3.20713391739675,0,7.94743429286608,0,2.29974968710889,9,73784,"$50,000-74,999"
"51019030104",85.6254165740946,14.3745834259054,8.06487447233948,0,2.75494334592313,0,2.06620750944235,5.6,57560,"$50,000-74,999"
"51019030201",90.5592734225621,9.44072657743786,3.80019120458891,0,1.61328871892925,0,3.39388145315488,2.9,87012,"$75,000-99,999"
"51019030202",87.4509803921569,12.5490196078431,7.07587382779199,0,0.323955669224211,0,2.71099744245524,8.9,60074,"$50,000-74,999"
"51019030300",92.5210084033613,7.47899159663865,5.35014005602241,0,0.168067226890756,0,0.0280112044817927,19.3,62806,"$50,000-74,999"
"51019030401",81.5303430079156,18.4696569920844,12.8627968337731,0,0,0,1.51715039577836,18.1,53990,"$50,000-74,999"
"51019030402",83.2892804698972,16.7107195301028,14.0381791483113,0,0,0,0.939794419970631,9.8,51232,"$50,000-74,999"
"51019030501",85.4323499491353,14.5676500508647,9.54221770091556,0,0,0,3.68260427263479,14.5,47054,"$25,000-49,999"
