"TeamID","Age.Group","Gender","LeagueID","TotalCost","CoachPaid","TotalGames","TotalTime","TotalDistance","AwayGames","WeightedCost","WeightedTime","WeightedDistance","LeagueTier"
"51021062","U12","Boys","LG0005",2250,"TRUE",9,311.033333333333,229.032450489143,4,1000,311,229,"Tier 4"
"51021063","U12","Boys","LG0005",2250,"TRUE",9,409.166666666667,321.410462896683,4,1000,409,321,"Tier 4"
"51021064","U12","Girls","LG0005",2250,"TRUE",9,324.3,247.797860494711,4,1000,324,248,"Tier 4"
"51021065","U12","Girls","LG0005",2250,"TRUE",9,334.6,244.66490694345,4,1000,335,245,"Tier 4"
"51021066","U11","Boys","LG0005",2250,"TRUE",9,321.233333333333,256.187614332299,4,1000,321,256,"Tier 4"
"51021067","U11","Boys","LG0005",2250,"TRUE",9,254.766666666667,178.435437047642,4,1000,255,178,"Tier 4"
"51021068","U11","Girls","LG0005",2250,"TRUE",9,458.866666666667,301.936689731965,5,1000,367,242,"Tier 4"
"51021069","U11","Girls","LG0005",2250,"TRUE",9,458.866666666667,301.936689731965,5,1000,367,242,"Tier 4"
"51021070","U10","Boys","LG0005",2250,"TRUE",9,273.766666666667,168.211395450569,4,1000,274,168,"Tier 4"
"51021071","U10","Girls","LG0005",2250,"TRUE",9,302.4,200.091465839497,4,1000,302,200,"Tier 4"
"51021072","U09","Boys","LG0005",2250,"TRUE",8,194.133333333333,116.324415413982,4,1125,194,116,"Tier 4"
"51021073","U09","Girls","LG0005",2250,"TRUE",10,596.333333333333,445.124224528752,7,900,341,254,"Tier 4"
"51021074","U19","Boys","LG0005",2350,"TRUE",9,366.266666666667,268.018521832498,4,1044.44,366,268,"Tier 4"
"51021076","U13","Boys","LG0011",2300,"TRUE",10,1368.46666666667,1308.28337508948,6,920,912,872,"Tier 1"
"51021077","U14","Boys","LG0011",2300,"TRUE",10,1368.46666666667,1308.28337508948,6,920,912,872,"Tier 1"
"51021078","U19","Girls","LG0004",3100,"TRUE",9,211.433333333333,169.968633182216,2,1377.78,423,340,"Tier 2"
"51021079","U19","Boys","LG0004",3100,"TRUE",10,698.666666666667,639.516473793049,5,1240,559,512,"Tier 2"
"51021080","U18","Girls","LG0004",3100,"TRUE",9,340.1,262.052115644635,4,1377.78,340,262,"Tier 2"
"51021081","U18","Boys","LG0004",3100,"TRUE",10,696.433333333333,641.523502743975,5,1240,557,513,"Tier 2"
"51021082","U17","Girls","LG0004",3100,"TRUE",9,321.8,249.168605344786,4,1377.78,322,249,"Tier 2"
"51021083","U17","Boys","LG0004",3100,"TRUE",11,680.366666666667,626.6329634932,5,1127.27,544,501,"Tier 2"
"51021084","U16","Girls","LG0004",3100,"TRUE",8,321.8,249.168605344786,4,1550,322,249,"Tier 2"
"51021086","U16","Boys","LG0004",3100,"TRUE",11,698.666666666667,639.516473793049,5,1127.27,559,512,"Tier 2"
"51021087","U15","Girls","LG0004",2900,"TRUE",9,234.433333333333,183.188926668257,3,1288.89,313,244,"Tier 2"
"51021088","U15","Girls","LG0013",2350,"TRUE",8,318.933333333333,222.572675574644,5,1175,255,178,"Tier 3"
"51021089","U15","Boys","LG0004",2900,"TRUE",9,252.733333333333,196.072436968106,3,1288.89,337,261,"Tier 2"
"51021090","U15","Boys","LG0013",2350,"TRUE",7,332.9,228.521683369124,5,1342.86,266,183,"Tier 3"
"51021091","U14","Girls","LG0004",2850,"TRUE",9,252.733333333333,196.072436968106,3,1266.67,337,261,"Tier 2"
"51021092","U14","Girls","LG0013",2350,"TRUE",6,237.866666666667,142.413306291259,4,1566.67,238,142,"Tier 3"
"51021093","U14","Boys","LG0004",2850,"TRUE",9,234.433333333333,183.188926668257,3,1266.67,313,244,"Tier 2"
"51021094","U14","Boys","LG0013",2350,"TRUE",8,334.433333333333,223.554442058379,5,1175,268,179,"Tier 3"
"51021095","U13","Girls","LG0004",2850,"TRUE",9,234.433333333333,183.188926668257,3,1266.67,313,244,"Tier 2"
"51021096","U13","Girls","LG0013",2350,"TRUE",8,335.7,222.259504493756,5,1175,269,178,"Tier 3"
"51021097","U13","Boys","LG0004",2850,"TRUE",9,234.433333333333,183.188926668257,3,1266.67,313,244,"Tier 2"
"51021098","U13","Boys","LG0013",2350,"TRUE",8,351.766666666667,237.150043744532,5,1175,281,190,"Tier 3"
"51021099","U12","Girls","LG0004",2250,"TRUE",9,234.433333333333,183.188926668257,3,1000,313,244,"Tier 2"
"51021100","U12","Girls","LG0013",2250,"TRUE",8,324.933333333333,224.803398154776,5,1125,260,180,"Tier 3"
