"Home","Away","Age Group","Gender","Field"
"A3 Blackpool U12 Girls NCSL","TAPK Takoma United U12 Girls NCSL","U12","Girls","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","STAF Revolution 04B White U14 Boys NCSL","U14","Boys","Bell Branch Athletic Complex Field B"
"A3 Spurs U12 Boys NCSL","TAFC Team America Spartans 2006 Red U12 Boys NCSL","U12","Boys","Bell Branch Athletic Complex Field D4"
"A3 Oxford U10 Girls NCSL","BETH Academy White 08 U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Portsmouth U13 Boys NCSL","LOUD 05B Silver U13 Boys NCSL","U13","Boys","Bell Branch Athletic Complex Field B"
"A3 Arsenal U10 Girls NCSL","BETH Academy Blue 08 U10 Girls NCSL","U10","Girls","Bell Branch Athletic Complex Field D3"
"A3 Blues U11 Girls NCSL","SMS Spirit Academy Black U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 Aston Villa U09 Boys NCSL","ALEX 09 Boys White U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Rangers U11 Girls NCSL","SMS Spirit Academy Red U11 Girls NCSL","U11","Girls","Bell Branch Athletic Complex Field D4"
"A3 West Brom U09 Boys NCSL","ALEX 09 Boys Blue U09 Boys NCSL","U09","Boys","Bell Branch Athletic Complex Field D3"
"A3 Everton U11 Boys NCSL","ABGC Annandale United FC U11 Boys NCSL","U11","Boys","Bell Branch Athletic Complex Field D4"
"ABGC AUFC 08 Red (Storm) U10 Girls NCSL","ARL 08G Black U10 Girls NCSL","U10","Girls","Annandale HS Track turf field"
"ABGC AUFC 09 Red U09 Boys NCSL","REST 09 Blue U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC United Black U13 Girls NCSL","ALEX 05 Girls White U13 Girls NCSL","U13","Girls","Annandale HS Stadium"
"ABGC Ragball USA U17 Boys NCSL","ASA DMV Fevisa 01 U17 Boys NCSL","U17","Boys","Mason District Park #3 Front Turf"
"ABGC United FC U16 Boys NCSL","ALEX 02 Boys White U16 Boys NCSL","U16","Boys","Mason District Park #3 Front Turf"
"ABGC AUFC  04 Black U14 Girls NCSL","AUSC Cannons U14 Girls NCSL","U14","Girls","Annandale HS Track turf field"
"ABGC Annandale United FC U11 Boys NCSL","REST 07 Blue U11 Boys NCSL","U11","Boys","Annandale HS Track turf field"
"ABGC Annandale United FC U11 Boys NCSL","MCLN 2007 Boys Silver U11 Boys NCSL","U11","Boys","Annandale HS Track turf field"
"ABGC AUFC 08 United U10 Boys NCSL","VSA 08B Jr Academy Messi U10 Boys NCSL","U10","Boys","Annandale HS Track turf field"
"ABGC AUFC 08 Red (Storm) U10 Girls NCSL","CFC 08G Red U10 Girls NCSL","U10","Girls","Annandale HS Track turf field"
"ABGC AUFC 09 United U09 Boys NCSL","VIST Legend U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC Ragball USA U17 Boys NCSL","FTSC Real Barsa U17 Boys NCSL","U17","Boys","Ossian Hall Park RF #01 (turf)"
"ABGC AUFC 09 Red U09 Boys NCSL","VIST FC Stars U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC AUFC 00 Black U18 Boys NCSL","ASA S-Force 00 U18 Boys NCSL","U18","Boys","Mason District Park #3 Front Turf"
"ABGC AUFC 01 United U17 Boys NCSL","STAF Revolution 01B Blue U17 Boys NCSL","U17","Boys","Ossian Hall Park RF #01 (turf)"
"ABGC United Calico U17 Boys NCSL","LOUD 01B Black U17 Boys NCSL","U17","Boys","Mason District Park #3 Front Turf"
"ABGC AUFC 00 Black U18 Boys NCSL","WALD SC 00 Boys Orange U18 Boys NCSL","U18","Boys","Annandale HS Stadium"
"ABGC AUFC 06 Red U12 Girls NCSL","ASA Sharp Shooters 06 U12 Girls NCSL","U12","Girls","Annandale HS Track turf field"
"ABGC Annandale United FC 06 Red U12 Boys NCSL","MRM Rush Gray '06B U12 Boys NCSL","U12","Boys","Annandale HS Track turf field"
"ABGC Annandale United FC 03 Red U15 Boys NCSL","LOUD 03B Silver U15 Boys NCSL","U15","Boys","Annandale HS Stadium"
"ABGC AUFC 08 United U10 Boys NCSL","ARL 08B Black U10 Boys NCSL","U10","Boys","Annandale HS Track turf field"
"ABGC AUFC 05 United U13 Boys NCSL","AUSC U13 Boys U13 Boys NCSL","U13","Boys","Annandale HS Stadium"
"ABGC United FC U16 Boys NCSL","BRYC Elite Academy U16 Elite U16 Boys NCSL","U16","Boys","Annandale HS Stadium"
"ABGC X-Treme U19 Girls NCSL","HERN Zephyr U19 Girls NCSL","U19","Girls","Annandale HS Stadium"
"ABGC AUFC 08 United U10 Boys NCSL","PWSI Boys 2008 Tiempo U10 Boys NCSL","U10","Boys","Annandale HS Track turf field"
"ABGC AUFC 05 United U13 Boys NCSL","GSC United Red 05 U13 Boys NCSL","U13","Boys","Stuart HS Stadium"
"ABGC AUFC 00 Black U18 Boys NCSL","FSCI Phoenix Orange-2- U18 boys U18 Boys NCSL","U18","Boys","Annandale HS Stadium"
"ABGC Annandale United FC 06 Red U12 Boys NCSL","TAFC Team America Academy 2006 U12 Boys NCSL","U12","Boys","Annandale HS Track turf field"
"ABGC AUFC  04 Black U14 Girls NCSL","VSA 04G Pre Academy Select Navy U14 Girls NCSL","U14","Girls","Stuart HS Stadium"
"ABGC AUFC 09 Red U09 Boys NCSL","ARL 09B Black U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC United Calico U17 Boys NCSL","CALV CSA 2001 U17 Boys NCSL","U17","Boys","Annandale HS Stadium"
"ABGC Ragball USA U17 Boys NCSL","CALV Cassa River U17 Boys NCSL","U17","Boys","Annandale HS Stadium"
"ABGC Annandale United FC U11 Boys NCSL","DAA Gators Green U11 Boys NCSL","U11","Boys","Annandale HS Track turf field"
"ABGC X-Treme U19 Girls NCSL","ASA Blast 99 U19 Girls NCSL","U19","Girls","Annandale HS Track turf field"
"ABGC United Calico U17 Boys NCSL","FWSA ES Firpo U17 Boys NCSL","U17","Boys","Annandale HS Track turf field"
"ABGC United Calico U17 Boys NCSL","CALV Eagles  Selectos U17 Boys NCSL","U17","Boys","Annandale HS Track turf field"
"ABGC AUFC 08 Red (Storm) U10 Girls NCSL","FPYC United Blue 08 U10 Girls NCSL","U10","Girls","Annandale HS Track turf field"
"ABGC AUFC 00 Red U18 Boys NCSL","ASA Wolves 99 (NB9940) U18 Boys NCSL","U18","Boys","Annandale HS Track turf field"
"ABGC United Black U13 Girls NCSL","DCST White Metros U13 Girls NCSL","U13","Girls","Annandale HS Track turf field"
"ABGC AUFC 00 Red U18 Boys NCSL","PAC Elite 00 Navy U18 Boys NCSL","U18","Boys","Annandale HS Stadium"
"ABGC AUFC 06 Red U12 Girls NCSL","DCST White Metros U12 Girls NCSL","U12","Girls","Annandale HS Track turf field"
"ABGC AUFC 09 Red U09 Boys NCSL","CSA Chaos 09B U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC AUFC 01 United U17 Boys NCSL","TAFC Team America 2001 Wisterman USA U17 Boys NCSL","U17","Boys","Annandale HS Stadium"
"ABGC Annandale United FC 06 Red U12 Boys NCSL","MSI MSC Academy 06 Green U12 Boys NCSL","U12","Boys","Annandale HS Track turf field"
"ABGC Annandale United FC 03 Red U15 Boys NCSL","SYC Lions 03 Orange U15 Boys NCSL","U15","Boys","Annandale HS Stadium"
"ABGC Annandale United FC U11 Boys NCSL","HERN Central Red U11 Boys NCSL","U11","Boys","Annandale HS Track turf field"
"ABGC AUFC  04 Black U14 Girls NCSL","ARL 04G Black U14 Girls NCSL","U14","Girls","Annandale HS Stadium"
"ABGC AUFC 05 United U13 Boys NCSL","BAC Fusion White U13 Boys NCSL","U13","Boys","Annandale HS Stadium"
"ABGC AUFC 00 Red U18 Boys NCSL","MSI Royal Bengal Tigers U18 Boys NCSL","U18","Boys","Stuart HS Stadium"
"ABGC X-Treme U19 Girls NCSL","WIN United 99G Orange U19 Girls NCSL","U19","Girls","Annandale HS Stadium"
"ABGC AUFC 01 United U17 Boys NCSL","LMVS Patriots 2001 White U17 Boys NCSL","U17","Boys","Stuart HS Stadium"
"ABGC AUFC 06 Red U12 Girls NCSL","HERN Lightning White U12 Girls NCSL","U12","Girls","Annandale HS Track turf field"
"ABGC Ragball USA U17 Boys NCSL","BSC Sharks U17 Boys NCSL","U17","Boys","Stuart HS Stadium"
"ABGC X-Treme U19 Girls NCSL","HERN Storm U19 Girls NCSL","U19","Girls","Annandale HS Stadium"
"ABGC AUFC 08 United U10 Boys NCSL","DCST Black Metros U10 Boys NCSL","U10","Boys","Annandale HS Track turf field"
"ABGC United FC U16 Boys NCSL","BAC Manchester State Elite U16 Boys NCSL","U16","Boys","Stuart HS Stadium"
"ABGC AUFC 00 Red U18 Boys NCSL","LOUD 00B White U18 Boys NCSL","U18","Boys","Annandale HS Stadium"
"ABGC AUFC 08 Red (Storm) U10 Girls NCSL","VIST Shenandoah FC  Elite 08 U10 Girls NCSL","U10","Girls","Annandale HS Track turf field"
"ABGC AUFC 09 United U09 Boys NCSL","LOUD 09B Silver U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC Annandale United FC 03 Red U15 Boys NCSL","WSC Vipers F.C U15 Boys NCSL","U15","Boys","Stuart HS Stadium"
"ABGC AUFC 00 Black U18 Boys NCSL","NVSC Hybrid 00B U18 Boys NCSL","U18","Boys","Annandale HS Stadium"
"ABGC AUFC 09 Red U09 Boys NCSL","WALD 09 Boys Orange U09 Boys NCSL","U09","Boys","Annandale HS Track turf field"
"ABGC AUFC 05 United U13 Boys NCSL","SDor Barca '05 Premier U13 Boys NCSL","U13","Boys","Annandale HS Stadium"
"ABGC AUFC  04 Black U14 Girls NCSL","CSA Impact 04G U14 Girls NCSL","U14","Girls","Stuart HS Stadium"
"ABGC United Black U13 Girls NCSL","BRYC Elite Academy U13 Black U13 Girls NCSL","U13","Girls","Annandale HS Stadium"
"ALEX 00 Boys Red U18 Boys NCSL","ARL 00B White U18 Boys NCSL","U18","Boys","Limerick 1"
"ALEX 00 Boys White U18 Boys NCSL","BAC Union U18 Boys NCSL","U18","Boys","Limerick 1"
"ALEX 01 Girls Red U17 Girls NCSL","BAC Blitz U17 Girls NCSL","U17","Girls","Limerick 1"
"ALEX 08 Boys White U10 Boys NCSL","REST 08 Green U10 Boys NCSL","U10","Boys","Witter Fields Complex #1a"
"ALEX 07 Boys Blue U11 Boys NCSL","VSA 07B Pre Academy NCSL U11 Boys NCSL","U11","Boys","Witter Fields Complex #2a"
"ALEX 09 Girls White U09 Girls NCSL","BETH Academy White 09 U09 Girls NCSL","U09","Girls","Witter Fields Complex #1b"
"ALEX 08 Boys Blue U10 Boys NCSL","REST 08 Blue U10 Boys NCSL","U10","Boys","Witter Fields Complex #1a"
"ALEX 06 Boys White U12 Boys NCSL","VSA 06B Pre Academy NCSL U12 Boys NCSL","U12","Boys","Witter Fields Complex #2a"
"ALEX 09 Girls Red U09 Girls NCSL","BETH Academy Blue 09 U09 Girls NCSL","U09","Girls","Witter Fields Complex #1b"
"ALEX 09 Boys Red U09 Boys NCSL","HERN Atletico Black U09 Boys NCSL","U09","Boys","Witter Fields Complex #1b"
"ALEX 07 Boys White U11 Boys NCSL","SDor Barca '07 Elite U11 Boys NCSL","U11","Boys","Witter Fields Complex #2a"
"ALEX 08 Girls White U10 Girls NCSL","FCVA United Premier 08G U10 Girls NCSL","U10","Girls","Witter Fields Complex #1a"
"ALEX 09 Boys White U09 Boys NCSL","HERN Atletico White U09 Boys NCSL","U09","Boys","Witter Fields Complex #1b"
"ALEX 04 Boys Red U14 Boys NCSL","SDor Barca '04 Elite U14 Boys NCSL","U14","Boys","Witter Fields Complex #2"
"ALEX 08 Girls Red U10 Girls NCSL","FCVA United Elite 08G U10 Girls NCSL","U10","Girls","Witter Fields Complex #1a"
"ALEX 05 Boys Red U13 Boys NCSL","SDor Barca '05 Elite U13 Boys NCSL","U13","Boys","Brenman Park - Soccer 1"
"ALEX 09 Boys Blue U09 Boys NCSL","HERN Atletico RED U09 Boys NCSL","U09","Boys","Witter Fields Complex #1b"
"ALEX 06 Girls White U12 Girls NCSL","BETH Academy Orange 06 U12 Girls NCSL","U12","Girls","Witter Fields Complex #1a"
"ALEX 01 Boys White U17 Boys NCSL","ARL 01B Blue U17 Boys NCSL","U17","Boys","Brenman Park - Soccer 1"
"ALEX 06 Boys White U12 Boys NCSL","CSA United 06B U12 Boys NCSL","U12","Boys","Witter Fields Complex #1a"
"ALEX 01 Boys White U17 Boys NCSL","FPYC Eagles Gold U17 Boys NCSL","U17","Boys","Witter Fields Complex #2"
"ALEX 00 Boys White U18 Boys NCSL","LOUD 00B Black U18 Boys NCSL","U18","Boys","Limerick 1"
"ALEX 08 Girls Red U10 Girls NCSL","CYA 08G Purple U10 Girls NCSL","U10","Girls","Witter Fields Complex #1b"
"ALEX 09 Boys White U09 Boys NCSL","CALV Ponce Eagles 2009 U09 Boys NCSL","U09","Boys","Brenman Park #1A"
"ALEX 08 Girls White U10 Girls NCSL","CYA 08G Gold U10 Girls NCSL","U10","Girls","Witter Fields Complex #1b"
"ALEX 06 Girls White U12 Girls NCSL","BSC Cheetahs U12 Girls NCSL","U12","Girls","Witter Fields Complex #1a"
"ALEX 02 Boys Red U16 Boys NCSL","CALV CSA 2002 U16 Boys NCSL","U16","Boys","Witter Fields Complex #2"
"ALEX 01 Girls Red U17 Girls NCSL","FTSC FUTSC RMD Shock 01G U17 Girls NCSL","U17","Girls","Limerick 1"
"ALEX 09 Boys Blue U09 Boys NCSL","SCAA Green 09B U09 Boys NCSL","U09","Boys","Brenman Park #1A"
"ALEX 09 Girls White U09 Girls NCSL","GRFL 09G Fire White U09 Girls NCSL","U09","Girls","Witter Fields Complex #1b"
"ALEX 07 Girls Red U11 Girls NCSL","SMS Spirit Academy Black U11 Girls NCSL","U11","Girls","Witter Fields Complex #1a"
"ALEX 04 Boys White U14 Boys NCSL","FSCI VISA Vasquez Academy 04 U14 Boys NCSL","U14","Boys","Limerick 1"
"ALEX 00 Boys Red U18 Boys NCSL","CALV EAGLES UNITED 00 U18 Boys NCSL","U18","Boys","Witter Fields Complex #2"
"ALEX 09 Boys Red U09 Boys NCSL","CALV CSA 2009 U09 Boys NCSL","U09","Boys","Brenman Park #1A"
"ALEX 09 Girls Red U09 Girls NCSL","GRFL 09G Fire Blue U09 Girls NCSL","U09","Girls","Witter Fields Complex #1b"
"ALEX 07 Girls White U11 Girls NCSL","SMS Spirit Academy Red U11 Girls NCSL","U11","Girls","Witter Fields Complex #1a"
"ALEX 05 Boys Red U13 Boys NCSL","CALV CSA 2005 U13 Boys NCSL","U13","Boys","Limerick 1"
