"Home","Away","Field","Age.Group","Gender"
"Beach FC Pride U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Hampton Roads Soccer Complex Field 18A","U10","Boys"
"CSL Challengers U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"Carolina Lightning U11 Boys TASL","WBSC Legends U11 Boys TASL","Albemarle School Field 1","U11","Boys"
"AYSO Arsenal U11 Boys TASL","WBSC Arsenal U11 Boys TASL","AYSO Cornland Park Field 5","U11","Boys"
"AYSO Arsenal U11 Boys TASL","CSL Avengers U11 Boys TASL","AYSO Cornland Park Field 5","U11","Boys"
"WBSC Legends U11 Boys TASL","Beach FC Strikers U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"WBSC Arsenal U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"WBSC Arsenal U11 Boys TASL","CSL Challengers U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"CSC Hawks U11 Boys TASL","AYSO Arsenal U11 Boys TASL","Centerville Complex Field 7A","U11","Boys"
"WBSC Legends U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Joliff Middle School Field 2","U11","Boys"
"Beach FC Thunder U11 Boys TASL","WBSC Legends U11 Boys TASL","Lake Taylor Soccer Complex Field 10","U11","Boys"
"Carolina Lightning U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Albemarle School Field 1","U11","Boys"
"CSL Avengers U11 Boys TASL","WBSC Arsenal U11 Boys TASL","Churchland Park Field  1","U11","Boys"
"CSC Hawks U11 Boys TASL","Beach FC Thunder U11 Boys TASL","Centerville Complex Field 7A","U11","Boys"
"Beach FC Strikers U11 Boys TASL","Beach FC Raptors U11 Boys TASL","Hampton Roads Soccer Complex Field 13B","U11","Boys"
"AYSO Arsenal U11 Boys TASL","Carolina Lightning U11 Boys TASL","AYSO Cornland Park Field 5","U11","Boys"
"CSL Challengers U11 Boys TASL","CSC Hawks U11 Boys TASL","Churchland Park Field  1","U11","Boys"
