"Home","Age.Group","Gender"
"FCSC United 2006 U12 Male CCL II","U12","Boys"
"FCSC United 2007 U11 Female CCL II","U11","Girls"
"FCSC United 2007 U11 Male CCL II","U11","Boys"
"FCSC United 2008 U10 Female CCL","U10","Girls"
"FCSC United 2008 U10 Male CCL","U10","Boys"
"FCSC United 2009 U09 Female CCL","U09","Girls"
"FCSC United 2009 U09 Male CCL","U09","Boys"
"Fredericksburg FC 1999 U19 Female CCL","U19","Girls"
"Fredericksburg FC 1999 U19 Male CCL","U19","Boys"
"Fredericksburg FC 2000 U18 Female CCL","U18","Girls"
"Fredericksburg FC 2000 U18 Male CCL","U18","Boys"
"Fredericksburg FC 2001 U17 Female CCL","U17","Girls"
"Fredericksburg FC 2001 U17 Male CCL","U17","Boys"
"Fredericksburg FC 2002 U16 Female CCL","U16","Girls"
"Fredericksburg FC 2002 U16 Male CCL","U16","Boys"
"Fredericksburg FC 2002 U16 Male CCL II","U16","Boys"
"Fredericksburg FC 2003 U15 Female CCL","U15","Girls"
"Fredericksburg FC 2003 U15 Female CCL II","U15","Girls"
"Fredericksburg FC 2003 U15 Male CCL","U15","Boys"
"Fredericksburg FC 2003 U15 Male CCL II","U15","Boys"
"Fredericksburg FC 2004 U14 Female CCL","U14","Girls"
"Fredericksburg FC 2004 U14 Female CCL II","U14","Girls"
"Fredericksburg FC 2004 U14 Male CCL","U14","Boys"
"Fredericksburg FC 2004 U14 Male CCL II","U14","Boys"
"Fredericksburg FC 2005 U13 Female CCL","U13","Girls"
"Fredericksburg FC 2005 U13 Female CCL II","U13","Girls"
"Fredericksburg FC 2005 U13 Male CCL","U13","Boys"
"Fredericksburg FC 2005 U13 Male CCL II","U13","Boys"
"Fredericksburg FC 2006 U12 Female CCL","U12","Girls"
"Fredericksburg FC 2006 U12 Female CCL II","U12","Girls"
"Fredericksburg FC 2006 U12 Male CCL","U12","Boys"
"Fredericksburg FC 2006 U12 Male CCL II","U12","Boys"
"Fredericksburg FC 2007 U11 Female CCL","U11","Girls"
"Fredericksburg FC 2007 U11 Female CCL II","U11","Girls"
"Fredericksburg FC 2007 U11 Male CCL","U11","Boys"
"Fredericksburg FC 2007 U11 Male CCL II","U11","Boys"
"Fredericksburg FC 2008 U10 Female CCL","U10","Girls"
"Fredericksburg FC 2008 U10 Male CCL","U10","Boys"
"Fredericksburg FC 2009 U09 Female CCL","U09","Girls"
"Fredericksburg FC 2009 U09 Male CCL","U09","Boys"
"LMVSC 1999 U19 Female CCL","U19","Girls"
"LMVSC 1999 U19 Male CCL","U19","Boys"
"LMVSC 2000 U18 Female CCL","U18","Girls"
"LMVSC 2000 U18 Male CCL","U18","Boys"
"LMVSC 2001 U17 Female CCL","U17","Girls"
"LMVSC 2001 U17 Male CCL","U17","Boys"
"LMVSC 2002 U16 Female CCL","U16","Girls"
"LMVSC 2002 U16 Female CCL II","U16","Girls"
"LMVSC 2002 U16 Male CCL","U16","Boys"
"LMVSC 2002 U16 Male CCL II","U16","Boys"
"LMVSC 2003 U15 Female CCL","U15","Girls"
"LMVSC 2003 U15 Female CCL II","U15","Girls"
"LMVSC 2003 U15 Male CCL","U15","Boys"
"LMVSC 2003 U15 Male CCL II","U15","Boys"
"LMVSC 2004 U14 Female CCL","U14","Girls"
"LMVSC 2004 U14 Female CCL II","U14","Girls"
"LMVSC 2004 U14 Male CCL","U14","Boys"
"LMVSC 2004 U14 Male CCL II","U14","Boys"
"LMVSC 2005 U13 Female CCL","U13","Girls"
"LMVSC 2005 U13 Female CCL II","U13","Girls"
"LMVSC 2005 U13 Male CCL","U13","Boys"
"LMVSC 2005 U13 Male CCL II","U13","Boys"
"LMVSC 2006 U12 Female CCL","U12","Girls"
"LMVSC 2006 U12 Female CCL II","U12","Girls"
"LMVSC 2006 U12 Male CCL","U12","Boys"
"LMVSC 2006 U12 Male CCL II","U12","Boys"
"LMVSC 2007 U11 Female CCL","U11","Girls"
"LMVSC 2007 U11 Female CCL II","U11","Girls"
"LMVSC 2007 U11 Male CCL","U11","Boys"
"LMVSC 2007 U11 Male CCL II","U11","Boys"
"LMVSC 2008 U10 Female CCL","U10","Girls"
"LMVSC 2008 U10 Male CCL","U10","Boys"
"LMVSC 2009 U09 Female CCL","U09","Girls"
"LMVSC 2009 U09 Male CCL","U09","Boys"
"Loudoun 1999 U19 Female CCL","U19","Girls"
"Loudoun 1999 U19 Male CCL","U19","Boys"
"Loudoun 2000 U18 Female CCL","U18","Girls"
"Loudoun 2000 U18 Male CCL","U18","Boys"
"Loudoun 2001 U17 Female CCL","U17","Girls"
"Loudoun 2001 U17 Male CCL","U17","Boys"
"Loudoun 2002 U16 Female CCL","U16","Girls"
"Loudoun 2002 U16 Female CCL II","U16","Girls"
"Loudoun 2002 U16 Male CCL","U16","Boys"
"Loudoun 2003 U15 Female CCL","U15","Girls"
"Loudoun 2003 U15 Female CCL II","U15","Girls"
"Loudoun 2003 U15 Male CCL","U15","Boys"
"Loudoun 2003 U15 Male CCL II","U15","Boys"
"Loudoun 2004 U14 Female CCL","U14","Girls"
"Loudoun 2004 U14 Female CCL II","U14","Girls"
"Loudoun 2004 U14 Male CCL","U14","Boys"
"Loudoun 2004 U14 Male CCL II","U14","Boys"
"Loudoun 2005 U13 Female CCL","U13","Girls"
"Loudoun 2005 U13 Female CCL II","U13","Girls"
"Loudoun 2005 U13 Male CCL","U13","Boys"
"Loudoun 2005 U13 Male CCL II","U13","Boys"
"Loudoun 2006 U12 Female CCL","U12","Girls"
"Loudoun 2006 U12 Female CCL II","U12","Girls"
"Loudoun 2006 U12 Male CCL","U12","Boys"
"Loudoun 2006 U12 Male CCL II","U12","Boys"
"Loudoun 2007 U11 Female CCL","U11","Girls"
"Loudoun 2007 U11 Female CCL II","U11","Girls"
"Loudoun 2007 U11 Male CCL","U11","Boys"
"Loudoun 2007 U11 Male CCL II","U11","Boys"
"Loudoun 2008 U10 Female CCL","U10","Girls"
"Loudoun 2008 U10 Male CCL","U10","Boys"
"Loudoun 2009 U09 Female CCL","U09","Girls"
"Loudoun 2009 U09 Male CCL","U09","Boys"
"McLean 1999 U19 Female CCL","U19","Girls"
"McLean 1999 U19 Male CCL","U19","Boys"
"McLean 2000 U18 Female CCL","U18","Girls"
"McLean 2000 U18 Male CCL","U18","Boys"
"McLean 2001 U17 Female CCL","U17","Girls"
"McLean 2001 U17 Male CCL","U17","Boys"
"McLean 2002 U16 Female CCL","U16","Girls"
"McLean 2002 U16 Female CCL II","U16","Girls"
"McLean 2002 U16 Male CCL","U16","Boys"
"McLean 2003 U15 Female CCL","U15","Girls"
"McLean 2003 U15 Female CCL II","U15","Girls"
"McLean 2003 U15 Male CCL","U15","Boys"
"McLean 2003 U15 Male CCL II","U15","Boys"
"McLean 2004 U14 Female CCL","U14","Girls"
"McLean 2004 U14 Female CCL II","U14","Girls"
"McLean 2004 U14 Male CCL","U14","Boys"
"McLean 2004 U14 Male CCL II","U14","Boys"
"McLean 2005 U13 Female CCL","U13","Girls"
"McLean 2005 U13 Female CCL II","U13","Girls"
"McLean 2005 U13 Male CCL","U13","Boys"
"McLean 2005 U13 Male CCL II","U13","Boys"
"McLean 2006 U12 Female CCL","U12","Girls"
"McLean 2006 U12 Female CCL II","U12","Girls"
"McLean 2006 U12 Male CCL","U12","Boys"
"McLean 2006 U12 Male CCL II","U12","Boys"
"McLean 2007 U11 Female CCL","U11","Girls"
"McLean 2007 U11 Female CCL II","U11","Girls"
"McLean 2007 U11 Male CCL","U11","Boys"
"McLean 2007 U11 Male CCL II","U11","Boys"
"McLean 2008 U10 Female CCL","U10","Girls"
"McLean 2008 U10 Male CCL","U10","Boys"
"McLean 2009 U09 Female CCL","U09","Girls"
"McLean 2009 U09 Male CCL","U09","Boys"
"NVSC 1999 U19 Female CCL","U19","Girls"
"NVSC 1999 U19 Male CCL","U19","Boys"
"NVSC 2000 U18 Female CCL","U18","Girls"
"NVSC 2000 U18 Male CCL","U18","Boys"
"NVSC 2001 U17 Female CCL","U17","Girls"
"NVSC 2001 U17 Male CCL","U17","Boys"
"NVSC 2002 U16 Female CCL","U16","Girls"
"NVSC 2002 U16 Female CCL II","U16","Girls"
"NVSC 2002 U16 Male CCL","U16","Boys"
"NVSC 2003 U15 Female CCL","U15","Girls"
"NVSC 2003 U15 Female CCL II","U15","Girls"
"NVSC 2003 U15 Male CCL","U15","Boys"
"NVSC 2003 U15 Male CCL II","U15","Boys"
"NVSC 2004 U14 Female CCL","U14","Girls"
"NVSC 2004 U14 Female CCL II","U14","Girls"
"NVSC 2004 U14 Male CCL","U14","Boys"
