"Home","Away","Age.Group","Field","Gender"
"FC Richmond 2007 U11 Male CCL","LMVSC 2007 U11 Male CCL","U11","Greenfield Elementary School #1","Boys"
"Virginia Legacy 2007 U11 Male CCL","SOCA 2007 U11 Male CCL","U11",,"Boys"
"Beach FC 2007 U11 Male CCL","Fredericksburg FC 2007 U11 Male CCL","U11","Hampton Roads Soccer Complex #13a","Boys"
"Loudoun 2007 U11 Female CCL","Roanoke Star 2007 U11 Female CCL","U11","Philip Bolen Park #16","Girls"
"NVSC 2007 U11 Female CCL","SYA 2007 U11 Female CCL","U11","Hellwig Park #3","Girls"
"Arlington 2007 U11 Female CCL","McLean 2007 U11 Female CCL","U11","Virginia Highlands #1","Girls"
"FC Richmond 2007 U11 Female CCL","LMVSC 2007 U11 Female CCL","U11","Greenfield Elementary School #1","Girls"
"Virginia Legacy 2007 U11 Female CCL","SOCA 2007 U11 Female CCL","U11",,"Girls"
"Beach FC 2007 U11 Female CCL","Fredericksburg FC 2007 U11 Female CCL","U11","Hampton Roads Soccer Complex #13a","Girls"
"Loudoun 1999 U19 Male CCL","SOCA 1999 U19 Male CCL","U19","Loudoun Soccer Park #2","Boys"
"NVSC 1999 U19 Male CCL","FC Frederick 1999 U19 Male CCL","U19","Hellwig Park #8","Boys"
"SYA 1999 U19 Male CCL","Arlington 1999 U19 Male CCL","U19","Centreville High School #Practice - Turf","Boys"
"McLean 1999 U19 Male CCL","FC Richmond 1999 U19 Male CCL","U19","Lewinsville Park #2","Boys"
"Loudoun 1999 U19 Female CCL","SOCA 1999 U19 Female CCL","U19","Philip Bolen Park #12","Girls"
"NVSC 1999 U19 Female CCL","FC Frederick 1999 U19 Female CCL","U19","Hellwig Park #7","Girls"
"SYA 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","U19",,"Girls"
"McLean 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19",,"Girls"
"Loudoun 2000 U18 Male CCL","SOCA 2000 U18 Male CCL","U18","Philip Bolen Park #12","Boys"
"NVSC 2000 U18 Male CCL","FC Frederick 2000 U18 Male CCL","U18","Hellwig Park #8","Boys"
"SYA 2000 U18 Male CCL","Arlington 2000 U18 Male CCL","U18","Centerville High School #Practice - Turf","Boys"
"McLean 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18",,"Boys"
"Loudoun 2000 U18 Female CCL","SOCA 2000 U18 Female CCL","U18","Philip Bolen Park #12","Girls"
"NVSC 2000 U18 Female CCL","FC Frederick 2000 U18 Female CCL","U18","Hellwig Park #7","Girls"
"SYA 2000 U18 Female CCL","Arlington 2000 U18 Female CCL","U18","Centerville High School #Stadium","Girls"
"McLean 2000 U18 Female CCL","FC Richmond 2000 U18 Female CCL","U18","Lewinsville Park #2","Girls"
"Loudoun 2001 U17 Male CCL","SOCA 2001 U17 Male CCL","U17","Loudoun Soccer Park #2","Boys"
"NVSC 2001 U17 Male CCL","FC Frederick 2001 U17 Male CCL","U17","Hellwig Park #8","Boys"
"SYA 2001 U17 Male CCL","Arlington 2001 U17 Male CCL","U17","Centerville High School #Practice - Turf","Boys"
"McLean 2001 U17 Male CCL","FC Richmond 2001 U17 Male CCL","U17","Lewinsville Park #2","Boys"
"Loudoun 2001 U17 Female CCL","SOCA 2001 U17 Female CCL","U17","Philip Bolen Park #2","Girls"
"NVSC 2001 U17 Female CCL","FC Frederick 2001 U17 Female CCL","U17","Hellwig Park #7","Girls"
"SYA 2001 U17 Female CCL","Arlington 2001 U17 Female CCL","U17","Centerville High School #Stadium","Girls"
