"Field","Street Address","City","State","Zip Code"
"Crows Woods1-4","901 East Atlantic Ave.","Haddonfield","NJ","08033"
"Croydon HallTurf","900 Leoardville Road","Leonardo","NJ","07737"
"Croydon Hall Turf #1","900 Leonardville Road","Leonardo","NJ","07737"
"CT Sportsplex #1","216 Foxon Road","North Branford","CT","06471"
"Dallas HS Stadium #1","2010 Conyngham Ave","Dallas","PA","18612"
"Danbury High SchoolTurf","43 Clapboard Ridge Rd","Danbury","CT","06811"
"Daniel P. Ryan Football Field #1","34 North State Home Road","Monroe Township","NJ","08831"
"DANUBIA SOCCER CLUB #1","1277 SOUTHAMPTON RD","PHILA","PA","19116"
"Danville Soccer Park #1","1098 East Market street","Danville","PA","17821"
"Davidsonville ParkField F","3042 Patuxent River Rd","Davidsonville","MD","21035"
"De Paul Catholic #1","1512 Alps Rd","Wayne","NJ","07470"
"DE Rush Field #4","740 Evanson Rd","Hockessin","DE","19720"
"DE Rush Smith Estate (Turf) #1","740 Evanson Rd","Hockessin","DE","19707"
"DecouD6","Cropwell Rd and Evesham Rd","Cherry Hill","NJ","08003"
"DecouD7","Cropwell Rd and Evesham Rd","Cherry Hill","NJ","08003"
"Decou 9v9D5","Cropwell Rd and Evesham Rd","Cherry Hill","NJ","08003"
"Decou Field Complex #1","Cropwell Rd","Cherry Hill","NJ","08003"
"Delaware Sports Complex #1","950 Levels Road","Middletown","DE","19709"
"Delaware Sports Complex EDP Futures Festival #1","955 Levels Road","Middletown","DE","19709"
"Delaware Union Park #4","860 Lewis Drive","Dover","DE","19904"
"Delaware Valley Friends School","19 E Central Ave","Paoli","PA","19301"
"Delaware Valley Friends SchoolDVFS","19 East Central Avenue","Paoli","PA","19301"
"Delaware Valley Friends SchoolTurf","19 East Central Avenue","Paoli","PA","19301"
"Delran Soccer Club",,,,
"Den of Lions - Riverbank Park","27 Somme Street","Newark","NJ","07105"
"Den of Lions - Riverfront Park","553 Raymond Blvd","Newark","NJ","07105"
"DePaul High School #1","1512 Alps Road","Wayne","NJ","07470"
"Deptford SA",,,,
"Diamond in the Pines #1",,,,
"Dideriksen Park1A","440 Dunhams Corner Road","East Brunswick","NJ","08816"
"Dideriksen Park #2","440 Dunhams Corner Rd","East Brunswick","NJ","08816"
"Dideriksen Park Field #4","440 Dunhams Corner Road","East Brunswick","NJ","08816"
"Dioguardi Field -- Montclair State","Yogi Berra Drive","Little Falls","NJ","07424"
"Division Ave HS #6","120 Division Ave","Levittown","NY","11756"
"Division Ave HS (6) #6","120 Division Ave","Levittown","NY","11756"
"Doc Cramer Sports Complex #1","490 Doc Cramer Boulevard","Manahawkin","NJ","08050"
"Doc Cramer Sports Complex #10","490 Doc Cramer Boulevard","Manahawkin","NJ","08050"
"Doc Cramer Sports Complex #6","490 Doc Cramer Boulevard","Manahawkin","NJ","08050"
"Donaldson County Park","800 South Second St","Highland Park","NJ","08904"
"Dorbrook #1","209 Route 537 East","Colts Neck","NJ","07722"
"Dorbrook #3","209 Route 537 East","Colts Neck","NJ","07722"
"Dorbrook Full #1","207 County Road 537 E","Colts Neck","NJ","07702"
"Dorbrook Full #2","207 County Road 537 E","Colts Neck","NJ","07702"
"Dorbrook Park #1","209 Country road 537 East","Colts Neck","NJ","07722"
"Dorbrook Park #1","353 Route 537","Colts Neck","NJ","07722"
"Dorbrook Recreation AreaFS1","209 County Route 537 East","Colts Neck","NJ","07722"
"Dorbrook Recreation AreaSS2","209 County Route 537 East","Colts Neck","NJ","07722"
"Dorbrook Recreation AreaSS3","209 County Route 537 East","Colts Neck","NJ","07722"
"Dorbrook SS # 2","209 Rt 537 East","Colts Neck","NJ","07722"
"Drew University","36 Madison Avenue","Madison","NJ","07940"
"Drew University #1","36 Madison Ave","Madison","NJ","07940"
"Drew University Small Sided #1","36 Madison Ave","Madison","NJ","07940"
"Drum Point Sports Complex #1","41Drum Point Road","Brick","NJ","08723"
"Drum Point Sports Complex #2","41 DRUM POINT ROAD","BRICK","NJ","08723"
"Drum Point Sports Complex #4","41 DRUM POINT ROAD","BRICK","NJ","08723"
"Duderstadt Grass Field","16 Dubois Road","Warren","NJ","07059"
"Duderstadt Turf Field","16 Dubois Road","Warren","NJ","07059"
"Dundalk HSTurf","1901 Delvale Ave","Baltimore","MD","21222"
"Dundee Island Park","38 Wall Street","Passaic","NJ","07055"
"East Brunswick Soccer",,,,
"East Hanover Middle School","477 Ridgedale Ave","East Hanover","NJ","07936"
"East Windsor PALA",,,,
"East Woods School Upper#1","31 Yellow Cote Rd","Oyster Bay","NY","11771"
"East Woods School Upper#2","31 Yellow Cote Rd","Oyster Bay","NY","11771"
"Eastern Reg ParkField 02","11723 Eastern Avenue","Middle River","MD","21220"
"Eastern Reg ParkField 10","11723 Eastern Avenue","Middle River","MD","21220"
"Eastern Regional High School #1","1401 Laurel Oak Road","Voorhees","NJ","08043"
"Eastern Regional ParkTurf","11723 Eastern Ave","Middle River","MD","21220"
"Eastern Regional ParkTurf","11723 Eastern Ave","Middle River","MD","21220"
"Eastern Regional Park Grass#2","11723 Eastern Avenue","Middle River","MD","21220"
"EASTERN TURF 7HS7","1401 Laurel Oak Road","Voorhees","NJ","08043"
"Echelon Complex #1","255 Echelon Road","Voorhees","NJ","08043"
"Echelon Complex #1","255 Echelon Road","Voorhees","NJ","08043"
"Echelon Complex 1EC1","255 Echelon Road","Voorhees","NJ","08043"
"Echelon Complex 2EC2","255 Echelon Road","Voorhees","NJ","08043"
"Echelon Complex 5EC5","255 Echelon Road","Voorhees","NJ","08043"
"ECPS Complex, Westville NJ11v11","216 Chestnut St","Westville","NJ","08093"
"ECPS Fields #1","216 Chestnut Street","Westville","NJ","08093"
"Edwards","1582 Fort Washington Avenue","Maple Glen","PA","19034"
"Edwards #1","1582 Fort Washington Avenue","Maple Glen","PA","19002"
"Edwards #2","1582 Fort Washington Avenue","Maple Glen","PA","19002"
"Elizabeth Seton HS #1","5715 Emerson St","Bladensburg","MD","20710"
"Elizabeth Seton Turf Field #1","5715 Emerson St","Bladensburg","MD","20710"
"Essex Valley High School","1 Henderson Drive","West Caldwell","NJ","07006"
"evergreen park #1","25 Kennedy RD","Tranquility","NJ","07821"
"Evergreen SportsPlex3A","19623 Evergreen Mills Rd","Leesburg","VA","20175"
"Evergreen Sportsplex #4","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen SportsPlex4A","19623 Evergreen Mills Rd","Leesburg","VA","20175"
"EZ School #26 Westminster #2","631 Westminster Ave","Elizabeth","NJ","07206"
"Fairfax Christian SchoolField 01","1624 Hunter Mill Rd","Vienna","VA","22182"
"Fairland Aquatic Park #1","13950 Gunpowder Rd.","Laurel","MD","20707"
"Fairland Rec 5 Turf","3928 Greencastle Rd","Burtonsville","MD","20866"
"Fairland Rec Park #1","3928 Greencastle Rd","Burtonsville","MD","20866"
"Fairland Rec ParkField 05","3928 Greencastle Rd","Burtonsville","MD","20866"
"Fairleigh Dickinson University - Florham CampusGrass","285 Madison Ave.","Madison","NJ","07940"
