"Home","Age.Group","Gender","Freq"
"WARWICK SOCCER STRIKEFORCE 2006 U12 Boys EDP","U12","Boys",1
"WASHINGTON UNITED FEVER 03 U15 Girls EDP","U15","Girls",1
"WASHINGTON UNITED FURY 04 ELITE U14 Boys EDP","U14","Boys",1
"WATCHUNG HILLS NJ ELITE 2002G FUSION U16 Girls EDP","U16","Girls",1
"WAYNE BOYS AND GIRLS MESSERCOLA U14 Boys EDP","U14","Boys",1
"WAYNE SC MILAN 2005-2006 U13 Boys EDP","U13","Boys",1
"WEST NEW YORK S.C. WNY TIGER 01-02 U17 Boys EDP","U17","Boys",1
"WEST-MONT UNITED SA PREMIER BLUE '03 U15 Girls EDP","U15","Girls",1
"WEST-MONT UNITED SA UNITED 2007 U11 Girls EDP","U11","Girls",1
"WESTCHESTER FLAMES 01 U17 Boys EDP","U17","Boys",1
"WESTCHESTER FLAMES 02 BOYS U16 Boys EDP","U16","Boys",1
"WESTERN LEHIGH UNITED FIRE U12 Boys EDP","U12","Boys",1
"WESTFIELD SA UNION COUNTY FC PREMIER PUMAS U13 Boys EDP","U13","Boys",1
"WORLD CLASS FC '06 NJ RED U12 Boys EDP","U12","Boys",1
"WORLD CLASS FC '06 NJ RED U12 Girls EDP","U12","Girls",1
"XAFC NJ WHITE U14 Boys EDP","U14","Boys",1
"YMS HEAT U16 Girls EDP","U16","Girls",1
"YMS PREMIER CELTIC 00 U19 Boys EDP","U19","Boys",1
