"Home","Age.Group","Gender","Freq"
"BENFICA SA EUSEBIO U14 Boys EDP","U14","Boys",1
"BETHESDA SC BLUE 06 U12 Boys EDP","U12","Boys",1
"BETHESDA SC STORM 01 U17 Girls EDP","U17","Girls",1
"BLACK ROCK FC 2005 BOYS U13 Boys EDP","U13","Boys",1
"BLACK ROCK FC 2006 BOYS U12 Boys EDP","U12","Boys",1
"BLACK ROCK FC 2006 GIRLS U12 Girls EDP","U12","Girls",1
"BLACK ROCK FC 2007 BOYS U11 Boys EDP","U11","Boys",1
"BOUND BROOK FC B.B LEGENDS U17 Boys EDP","U17","Boys",1
"BOWIE FC BULLDOGS U16 Boys EDP","U16","Boys",1
"BRAUSA UNITED FUTEBOL BLUE 00 U18 Boys EDP","U18","Boys",1
"BRAUSA UNITED FUTEBOL BLUE 02 U16 Boys EDP","U16","Boys",1
"BRAUSA UNITED FUTEBOL BUFC BLUE 01 U17 Boys EDP","U17","Boys",1
"BRIDGEWATER SA IMPACT U13 Boys EDP","U13","Boys",1
"BROOKLYN CITY F.C. 2006 U12 Girls EDP","U12","Girls",1
"BROOKLYN CITY F.C. G03 U15 Girls EDP","U15","Girls",1
"BUCKINGHAM UNITED BLUE 2002 U16 Boys EDP","U16","Boys",1
"BUCKINGHAM UNITED SC 2001 PREMIER U17 Boys EDP","U17","Boys",1
"BURLINGTON COUNTY BCSA BOYS 2006 U12 Boys EDP","U12","Boys",1
"CALVERT CSA CYCLONES 04G U14 Girls EDP","U14","Girls",1
"CALVERT CSA FLAMES 07G U11 Girls EDP","U11","Girls",1
"CALVERT CSA RIPTIDE BLACK 07B U11 Boys EDP","U11","Boys",1
"CALVERT CSA UNITED 01G U17 Girls EDP","U17","Girls",1
"CALVERT CSA WARRIORS 05G U13 Girls EDP","U13","Girls",1
"CAPITAL FC 99B RED (DIPLOMATS) U19 Boys EDP","U19","Boys",1
"CEDAR STARS ACADEMY MONMOUTH B-2006 GREEN U12 Boys EDP","U12","Boys",1
"CEDAR STARS ACADEMY MONMOUTH B-2006 WHITE U13 Boys EDP","U13","Boys",1
"CEDAR STARS ACADEMY MONMOUTH G-2004 GREEN U14 Girls EDP","U14","Girls",1
"CEDAR STARS ACADEMY MONMOUTH G-2007 WHITE U11 Girls EDP","U11","Girls",1
"CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP","U11","Boys",1
"CEDAR STARS ACADEMY STATEN ISLAND 2005 CAHILL U13 Boys EDP","U13","Boys",1
"CENTERCOURT FC 05 WHITE U13 Girls EDP","U13","Girls",1
"CENTRAL CARROLL STRIKERS U11 Boys EDP","U11","Boys",1
"CENTRAL CARROLL STRIKERS U15 Boys EDP","U15","Boys",1
"CHERRY HILL FC PREMIER SHARKS 03 U15 Boys EDP","U15","Boys",1
"CHERRY HILL FC PREMIER VIPERS 99 U19 Boys EDP","U19","Boys",1
"CLARKSTOWN '07 ELITE SAMIMI U11 Girls EDP","U11","Girls",1
"CLUB ATLETICO BOCA JUNIORS USA NY BOCA JUNIORS 2003 U15 Boys EDP","U15","Boys",1
"CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP","U13","Boys",1
"CONNECTICUT FC CFC SOUTH ORANGE 2004 U14 Girls EDP","U14","Girls",1
"CONTINENTAL FC BARCA '07F U11 Girls EDP","U11","Girls",1
"COUNCIL ROCK UNITED FC BUCKS STORM U16 Boys EDP","U16","Boys",1
"COUNCIL ROCK UNITED FC BUCKS WARRIORS U19 Boys EDP","U19","Boys",1
"CT RUSH ELITE 04 GIRLS U14 Girls EDP","U14","Girls",1
"DANUBIA GERMAN FC DANUBIA EAGLES U14 Boys EDP","U14","Boys",1
"DAVIDSONVILLE ATHLETIC ARSENAL '03 U15 Girls EDP","U15","Girls",1
"DELAWARE FOOTBALL DEFC 01 BOYS U17 Boys EDP","U17","Boys",1
"DONEGAL YOUTH SOCCER THUNDER '01 U17 Boys EDP","U17","Boys",1
"DUSC B1999 BLUE U19 Boys EDP","U19","Boys",1
"DUSC B2000 ORANGE U19 Boys EDP","U19","Boys",1
"DUSC B2001 BLUE U17 Boys EDP","U17","Boys",1
"DUSC B2001 ORANGE U17 Boys EDP","U17","Boys",1
"DUSC B2002 BLUE U16 Boys EDP","U16","Boys",1
"DUSC B2002 ORANGE U16 Boys EDP","U16","Boys",1
"DUSC B2003 BLUE U15 Boys EDP","U15","Boys",1
"DUSC B2005 BLUE U13 Boys EDP","U13","Boys",1
"DUSC G2002 BLUE U16 Girls EDP","U16","Girls",1
"EAST BRUNSWICK SC PREDATORS U17 Boys EDP","U17","Boys",1
"EAST BRUNSWICK SC THUNDER 2002 U16 Boys EDP","U16","Boys",1
"EAST BRUNSWICK SC WARRIORS U16 Boys EDP","U16","Boys",1
"EAST HANOVER PESA DINAMO U14 Boys EDP","U14","Boys",1
"EAST MEADOW THUNDER U15 Boys EDP","U15","Boys",1
"EAST WINDSOR PAL ATLETICO U14 Boys EDP","U14","Boys",1
"EAST WINDSOR PAL DYNAMO U15 Boys EDP","U15","Boys",1
"EAST WINDSOR PAL ROCKETS U15 Boys EDP","U15","Boys",1
"EDISON UNITED SA COSMOS U13 Boys EDP","U13","Boys",1
"ELIZABETH YSC GUNNERS U19 Boys EDP","U19","Boys",1
