Home,Away,Field
CEDAR STARS ACADEMY BERGEN 2006 GIRLS BLACK U12 Girls EDP,FC COPA ACADEMY G06 BLACK U12 Girls EDP,Unassigned
EAST HANOVER PESA TORCIDA U12 Girls EDP,BROOKLYN CITY F.C. 2006 U12 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2006 GIRLS BLACK U12 Girls EDP,WORLD CLASS FC '06 NJ RED U12 Girls EDP,Unassigned
YMS FREEDOM 06 U12 Girls EDP,PENN LEGACY 06 BLACK F U12 Girls EDP,Unassigned
TSF ACADEMY 2006G U12 Girls EDP,GPS NJ CENTRAL 06G RED U12 Girls EDP,
NIRVANA 360 FREEDOM U12 Girls EDP,WEST MORRIS SC PREMIER 06G U12 Girls EDP,Unassigned
YMS FREEDOM 06 U12 Girls EDP,WARRINGTON FC STRIKERS U12 Girls EDP,Unassigned
STA 2006G NPL U12 Girls EDP,PRINCETON SA PREMIER ELITE 06 ORANGE U12 Girls EDP,Unassigned
WESTFIELD SA UNION COUNTY FC PREMIER SAO PAULO U12 Girls EDP,FISHTOWN AC FUSION 06/07 U12 Girls EDP,Unassigned
FC COPA ACADEMY G06 RED U12 Girls EDP,PRINCETON SA PREMIER ELITE 06 WHITE U12 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2006 GIRLS BLACK U12 Girls EDP,STA 2006G NPL U12 Girls EDP,Unassigned
PRINCETON SA PREMIER ELITE 06 ORANGE U12 Girls EDP,LIVERPOOL FCIA REDS U12 Girls EDP,Unassigned
PRINCETON SA PREMIER ELITE 06 ORANGE U12 Girls EDP,NJ WILDCATS ADAMS-NPL U12 Girls EDP,Unassigned
NEW YORK SC ELITE G06 EDP U12 Girls EDP,CEDAR STARS ACADEMY BEGEN 2006 GREEN U12 Girls EDP,Unassigned
TSF ACADEMY 2005G U13 Girls EDP,WORLD CLASS FC '06 X-TREME U13 Girls EDP,
CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Girls EDP,FARMINGDALE SC REBELS UNITED U13 Girls EDP,Unassigned
FARMINGDALE SC REBELS UNITED U13 Girls EDP,NEW YORK SURF G05 U13 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Girls EDP,ELIZABETH YSC REVOLUTION U13 Girls EDP,Unassigned
CEDAR STARS ACADEMY BERGEN 2005 GREEN U13 Girls EDP,ALLEYCATS ACADEMY PRE-NPL RED 2005G U13 Girls EDP,Unassigned
FC EUROPA 05G ELITE U13 Girls EDP,WARRINGTON 2005 UNITED U13 Girls EDP,
NIRVANA 360 COURAGE U14 Girls EDP,SPORTFRIENDS SC BANSHEES U14 Girls EDP,Unassigned
TSF ACADEMY 2004G U14 Girls EDP,WESTFIELD SA UNION COUNTY FC PREMIER DERBY U14 Girls EDP,
PRINCETON SA PREMIER ELITE 04 NORTH U14 Girls EDP,WATCHUNG HILLS NJ ELITE 2004G RISING STARS U14 Girls EDP,Unassigned
VILLAGE OF THE BRANCH G04 UNITED U14 Girls EDP,CT RUSH ELITE 04 GIRLS U14 Girls EDP,Unassigned
MONMOUTH COAST FC SHOREBREAKERS U14 Girls EDP,PISCATAWAY SC LIGHTNING U14 Girls EDP,Unassigned
LAKEHURST MANCHESTER SA BLUE STORM U14 Girls EDP,WEST MORRIS SC PREMIER 04G U14 Girls EDP,Unassigned
NIRVANA 360 COURAGE U14 Girls EDP,CEDAR STARS ACADEMY HUDSON VALLEY 2004 U14 Girls EDP,Unassigned
MONTCLAIR UNITED 2004 GIRLS U14 Girls EDP,LAKEHURST MANCHESTER SA BLUE STORM U14 Girls EDP,Unassigned
SPORTFRIENDS SC BANSHEES U14 Girls EDP,WEST MORRIS SC PREMIER 04G U14 Girls EDP,Unassigned
NIRVANA 360 COURAGE U14 Girls EDP,BLACK ROCK FC 2004 GIRLS U14 Girls EDP,Unassigned
MAINLAND UNITED SA AMBUSH U15 Girls EDP,DELRAN STARS U15 Girls EDP,Unassigned
MAROONS-MCCLUSKEY 03/04 U15 Girls EDP,FCUSA NEW JERSEY 2003/04 GIRLS U15 Girls EDP,Unassigned
SFL MORGAN U15 Girls EDP,SCOTCH PLAINS FANWOOD SA SPF HEATH U15 Girls EDP,Unassigned
TSF ACADEMY 2001G U16 Girls EDP,FC BERNA LEGACY 02G BLACK U16 Girls EDP,Unassigned
HARRISON SC EXTREME U16 Girls EDP,MAPLE SHADE SADS U16 Girls EDP,Unassigned
MONROE TOWNSHIP YS UNITED 02 U16 Girls EDP,HARRISON SC EXTREME U16 Girls EDP,TBD TBD
HMMS EAGLE FC VILLA '99 U19 Girls EDP,PHILADELPHIA UKRAINIAN NATIONALS VORSKLA BLACK U19 Girls EDP,Unassigned
