"Home","Away","Field","Age.Group","Gender"
"POWHATAN FURY 06B U12 Boys ADSL","KICKERS CENTRAL DYNAMO U12 Boys ADSL","Fighting Creek Park #2","U12","Boys"
"STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","KICKERS U11B ELITE BLACK U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","KICKERS U11B ELITE WHITE U12 Boys ADSL","Woodlake #3","U12","Boys"
"FC RICHMOND METRO U12 Boys ADSL","KICKERS COLLEGIATE CREW U12 Boys ADSL","Greenfield #1","U12","Boys"
"KICKERS CENTRAL DYNAMO U12 Boys ADSL","RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","Bryan Park A1","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","Striker Park #04","U12","Boys"
"STRIKERS 2006 UNITED U12 Boys ADSL","POWHATAN FURY 06B U12 Boys ADSL","Striker Park #04","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","Striker Park #05","U12","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
"STRIKERS 2006 UNITED U12 Boys ADSL","FC RICHMOND METRO U12 Boys ADSL","Striker Park #04","U12","Boys"
"STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","Striker Park #04","U12","Boys"
"KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","POWHATAN FURY 06B U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","Ukrop Park 4A","U12","Boys"
