Home,Away
Roanoke Star 2000 U18 Female CCL,Potomac 2000 U18 Female CCL
Roanoke Star 2000 U18 Male CCL,Potomac 2000 U18 Male CCL
Virginia Legacy 2001 U17 Male CCL,Arlington 2001 U17 Male CCL
DC Stoddert 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
Fredericksburg FC 1999 U19 Female CCL,Ellicott City 1999 U19 Female CCL
Fredericksburg FC 2002 U16 Male CCL,Ellicott City 2002 U16 Male CCL
Fredericksburg FC 2003 U15 Male CCL II,LMVSC 2003 U15 Male CCL II
FCSC United 2005 U13 Female CCL II,SYA 2005 U13 Female CCL II
Fredericksburg FC 2007 U11 Male CCL II,LMVSC 2007 U11 Male CCL II
Fredericksburg FC 2007 U11 Female CCL II,LMVSC 2007 U11 Female CCL II
Potomac 2002 U16 Female CCL II,LMVSC 2002 U16 Female CCL II
SYC 2002 U16 Female CCL II,NVSC 2002 U16 Female CCL II
Fredericksburg FC 2003 U15 Male CCL II,FCSC United 2003 U15 Male CCL II
FC Frederick 2003 U15 Female CCL II,Ellicott City 2003 U15 Female CCL II
NVSC 2003 U15 Female CCL II,LMVSC 2003 U15 Female CCL II
SYC 2004 U14 Female CCL II,McLean 2004 U14 Female CCL II
Fredericksburg FC 2005 U13 Female CCL II,FCSC United 2005 U13 Female CCL II
Fredericksburg FC 2007 U11 Male CCL II,FCSC United 2007 U11 Male CCL II
Fredericksburg FC 2007 U11 Female CCL II,FCSC United 2007 U11 Female CCL II
Ellicott City 2002 U16 Female CCL II,Loudoun 2002 U16 Female CCL II
SYC 2002 U16 Female CCL II,LMVSC 2002 U16 Female CCL II
Ellicott City 2003 U15 Male CCL II,Fredericksburg FC 2003 U15 Male CCL II
Ellicott City 2003 U15 Female CCL II,Fredericksburg FC 2003 U15 Female CCL II
SYA 2004 U14 Female CCL II,FC Frederick 2004 U14 Female CCL II
McLean 2004 U14 Female CCL II,Loudoun 2004 U14 Female CCL II
FCSC United 2005 U13 Female CCL II,NVSC 2005 U13 Female CCL II
Ellicott City 2007 U11 Male CCL II,Fredericksburg FC 2007 U11 Male CCL II
Ellicott City 2007 U11 Female CCL II,Fredericksburg FC 2007 U11 Female CCL II
Potomac 2003 U15 Female CCL II,Ellicott City 2003 U15 Female CCL II
NVSC 2004 U14 Female CCL II,SYA 2004 U14 Female CCL II
LMVSC 2005 U13 Female CCL II,FCSC United 2005 U13 Female CCL II
FCSC United 2002 U16 Male CCL II,LMVSC 2002 U16 Male CCL II
FCSC United 2002 U16 Female CCL II,LMVSC 2002 U16 Female CCL II
SYA 2003 U15 Male CCL II,Fredericksburg FC 2003 U15 Male CCL II
Ellicott City 2003 U15 Female CCL II,LMVSC 2003 U15 Female CCL II
DC Stoddert 2004 U14 Female CCL II,McLean 2004 U14 Female CCL II
SYA 2004 U14 Female CCL II,Fredericksburg FC 2004 U14 Female CCL II
Ellicott City 2005 U13 Female CCL II,LMVSC 2005 U13 Female CCL II
FC Frederick 2005 U13 Female CCL II,FCSC United 2005 U13 Female CCL II
SYA 2007 U11 Male CCL II,Fredericksburg FC 2007 U11 Male CCL II
SYA 2007 U11 Female CCL II,Fredericksburg FC 2007 U11 Female CCL II
McLean 2002 U16 Female CCL II,Fredericksburg FC 2002 U16 Female CCL II
Fredericksburg FC 2003 U15 Male CCL II,FC Frederick 2003 U15 Male CCL II
NVSC 2003 U15 Female CCL II,Ellicott City 2003 U15 Female CCL II
McLean 2004 U14 Female CCL II,Potomac 2004 U14 Female CCL II
SYA 2004 U14 Female CCL II,SYC 2004 U14 Female CCL II
Fredericksburg FC 2007 U11 Male CCL II,FC Frederick 2007 U11 Male CCL II
Fredericksburg FC 2007 U11 Female CCL II,FC Frederick 2007 U11 Female CCL II
FCSC United 2002 U16 Male CCL II,McLean 2002 U16 Male CCL II
NVSC 2002 U16 Female CCL II,SYA 2002 U16 Female CCL II
DC Stoddert 2003 U15 Male CCL II,Fredericksburg FC 2003 U15 Male CCL II
Ellicott City 2003 U15 Female CCL II,SYA 2003 U15 Female CCL II
FC Frederick 2003 U15 Female CCL II,NVSC 2003 U15 Female CCL II
Ellicott City 2004 U14 Female CCL II,SYA 2004 U14 Female CCL II
FCSC United 2004 U14 Female CCL II,McLean 2004 U14 Female CCL II
FCSC United 2005 U13 Female CCL II,McLean 2005 U13 Female CCL II
DC Stoddert 2007 U11 Male CCL II,Fredericksburg FC 2007 U11 Male CCL II
DC Stoddert 2007 U11 Female CCL II,Fredericksburg FC 2007 U11 Female CCL II
Fredericksburg FC 2003 U15 Male CCL II,SYC 2003 U15 Male CCL II
Ellicott City 2003 U15 Female CCL II,FCSC United 2003 U15 Female CCL II
McLean 2004 U14 Female CCL II,SYA 2004 U14 Female CCL II
Fredericksburg FC 2007 U11 Male CCL II,SYC 2007 U11 Male CCL II
Fredericksburg FC 2007 U11 Female CCL II,SYC 2007 U11 Female CCL II
NVSC 2003 U15 Male CCL II,Fredericksburg FC 2003 U15 Male CCL II
McLean 2004 U14 Female CCL II,SYC 2004 U14 Female CCL II
SYA 2004 U14 Female CCL II,LMVSC 2004 U14 Female CCL II
NVSC 2007 U11 Male CCL II,Fredericksburg FC 2007 U11 Male CCL II
NVSC 2007 U11 Female CCL II,Fredericksburg FC 2007 U11 Female CCL II
Ellicott City 2003 U15 Male CCL II,FCSC United 2003 U15 Male CCL II
FCSC United 2005 U13 Female CCL II,Ellicott City 2005 U13 Female CCL II
Ellicott City 2002 U16 Female CCL II,FC Frederick 2002 U16 Female CCL II
CFC 06B Red (Red Stars) U12 Boys NCSL,GSC United Red 06 U12 Boys NCSL
DCST White Metros U12 Boys NCSL,GSC United Red 06 U12 Boys NCSL
FRED FC Frederick '06 Royal II U12 Boys NCSL,SMS Scorpions Classic U12 Boys NCSL
FTSC Future Monarchs Black '02B U16 Boys NCSL,REST 02 Cyclones U16 Boys NCSL
GSC United Red 06 U12 Boys NCSL,PAC Elite 06 Navy U12 Boys NCSL
GSC United Red 06 U12 Boys NCSL,POT Black 06 U12 Boys NCSL
GSC United Red 06 U12 Boys NCSL,FPYC United Gold 06 U12 Boys NCSL
GSC United Red 06 U12 Boys NCSL,SYA Cardinals '06 Black U12 Boys NCSL
GSC United Red 06 U12 Boys NCSL,LOUD 06B Silver U12 Boys NCSL
VYS 06B White U12 Boys NCSL,GSC United Red 06 U12 Boys NCSL
VYS 06B Black U12 Boys NCSL,GSC United Red 06 U12 Boys NCSL
