"Home","Away","Field"
"Fredericksburg FC 2001 U17 Male CCL","Virginia Legacy 2001 U17 Male CCL","FFC Park #10"
"NVSC 2001 U17 Male CCL","Potomac 2001 U17 Male CCL","Hellwig Park #8"
"McLean 2001 U17 Male CCL","Roanoke Star 2001 U17 Male CCL","Lewinsville Park #2"
"FC Richmond 2001 U17 Male CCL","Beach FC 2001 U17 Male CCL","Huguenot Park #3"
"SOCA 2001 U17 Male CCL","SYA 2001 U17 Male CCL","SOCA South Fork Soccer Park #3"
"FC Frederick 2001 U17 Female CCL","Arlington 2001 U17 Female CCL","Urbana High School #Stadium"
"DC Stoddert 2001 U17 Female CCL","Loudoun 2001 U17 Female CCL","Maryland SoccerPlex #5"
"Ellicott City 2001 U17 Female CCL","LMVSC 2001 U17 Female CCL","Troy Park #3"
"Fredericksburg FC 2001 U17 Female CCL","Virginia Legacy 2001 U17 Female CCL","FFC Park #12"
"NVSC 2001 U17 Female CCL","Potomac 2001 U17 Female CCL","Hellwig Park #7"
"McLean 2001 U17 Female CCL","Roanoke Star 2001 U17 Female CCL","Linway"
"FC Richmond 2001 U17 Female CCL","Beach FC 2001 U17 Female CCL","Huguenot Park #3"
"SOCA 2001 U17 Female CCL","SYA 2001 U17 Female CCL","SOCA South Fork Soccer Park #3"
"FC Frederick 2002 U16 Male CCL","Arlington 2002 U16 Male CCL","Oakdale High School #Aux"
"Ellicott City 2002 U16 Male CCL","LMVSC 2002 U16 Male CCL","Troy Park #4"
"NVSC 2002 U16 Male CCL","Potomac 2002 U16 Male CCL","Hellwig Park #8"
"McLean 2002 U16 Male CCL","Roanoke Star 2002 U16 Male CCL","Linway"
"FC Richmond 2002 U16 Male CCL","Beach FC 2002 U16 Male CCL","Huguenot Park #2"
"SOCA 2002 U16 Male CCL","SYA 2002 U16 Male CCL","SOCA South Fork Soccer Park #2"
"FC Frederick 2002 U16 Female CCL","Arlington 2002 U16 Female CCL","Urbana High School #Stadium"
"DC Stoddert 2002 U16 Female CCL","Loudoun 2002 U16 Female CCL","Maryland SoccerPlex #5"
"Ellicott City 2002 U16 Female CCL","LMVSC 2002 U16 Female CCL","Troy Park #3"
"Fredericksburg FC 2002 U16 Female CCL","Virginia Legacy 2002 U16 Female CCL","FFC Park #12"
"NVSC 2002 U16 Female CCL","Potomac 2002 U16 Female CCL","Hellwig Park #7"
"McLean 2002 U16 Female CCL","Roanoke Star 2002 U16 Female CCL","Lewinsville Park #2"
"FC Richmond 2002 U16 Female CCL","Beach FC 2002 U16 Female CCL","Huguenot Park #2"
"SOCA 2002 U16 Female CCL","SYA 2002 U16 Female CCL","SOCA South Fork Soccer Park #3"
"FC Frederick 2003 U15 Male CCL","Arlington 2003 U15 Male CCL","Oakdale High School #Aux"
"DC Stoddert 2003 U15 Male CCL","Loudoun 2003 U15 Male CCL","Maryland SoccerPlex #5"
"Ellicott City 2003 U15 Male CCL","LMVSC 2003 U15 Male CCL","Troy Park #3"
"Fredericksburg FC 2003 U15 Male CCL","Virginia Legacy 2003 U15 Male CCL","FFC Park #10"
"NVSC 2003 U15 Male CCL","Potomac 2003 U15 Male CCL","Hellwig Park #2"
"McLean 2003 U15 Male CCL","Roanoke Star 2003 U15 Male CCL","Spring Hill Recreation Center #2"
"FC Richmond 2003 U15 Male CCL","Beach FC 2003 U15 Male CCL","Huguenot Park #2"
"SOCA 2003 U15 Male CCL","SYA 2003 U15 Male CCL","SOCA South Fork Soccer Park #4"
"FC Frederick 2003 U15 Female CCL","Arlington 2003 U15 Female CCL","Urbana High School #Stadium"
"DC Stoddert 2003 U15 Female CCL","Loudoun 2003 U15 Female CCL","Maryland SoccerPlex #6"
"Ellicott City 2003 U15 Female CCL","LMVSC 2003 U15 Female CCL","Troy Park #3"
"Fredericksburg FC 2003 U15 Female CCL","Virginia Legacy 2003 U15 Female CCL","FFC Park #13"
"NVSC 2003 U15 Female CCL","Potomac 2003 U15 Female CCL","Hellwig Park #3"
"McLean 2003 U15 Female CCL","Roanoke Star 2003 U15 Female CCL","Lewinsville Park #3"
"FC Richmond 2003 U15 Female CCL","Beach FC 2003 U15 Female CCL","Huguenot Park #2"
"SOCA 2003 U15 Female CCL","SYA 2003 U15 Female CCL","SOCA South Fork Soccer Park #3"
"FC Frederick 2004 U14 Male CCL","Arlington 2004 U14 Male CCL","Urbana High School #Stadium"
"DC Stoddert 2004 U14 Male CCL","Loudoun 2004 U14 Male CCL","Maryland SoccerPlex #5"
"Ellicott City 2004 U14 Male CCL","LMVSC 2004 U14 Male CCL","Troy Park #3"
"Fredericksburg FC 2004 U14 Male CCL","Virginia Legacy 2004 U14 Male CCL","FFC Park #13"
"NVSC 2004 U14 Male CCL","Potomac 2004 U14 Male CCL","Hellwig Park #2"
"McLean 2004 U14 Male CCL","Roanoke Star 2004 U14 Male CCL","Spring Hill Recreation Center #2"
"FC Richmond 2004 U14 Male CCL","Beach FC 2004 U14 Male CCL","Huguenot Park #1"
"SOCA 2004 U14 Male CCL","SYA 2004 U14 Male CCL","SOCA South Fork Soccer Park #2"
"FC Frederick 2004 U14 Female CCL","Arlington 2004 U14 Female CCL","Oakdale High School #Aux"
"DC Stoddert 2004 U14 Female CCL","Loudoun 2004 U14 Female CCL","Maryland SoccerPlex #6"
"Fredericksburg FC 2004 U14 Female CCL","Virginia Legacy 2004 U14 Female CCL","FFC Park #13"
"NVSC 2004 U14 Female CCL","Potomac 2004 U14 Female CCL","Hellwig Park #2"
"McLean 2004 U14 Female CCL","Roanoke Star 2004 U14 Female CCL","Lewinsville Park #3"
"FC Richmond 2004 U14 Female CCL","Beach FC 2004 U14 Female CCL","Huguenot Park #1"
"SOCA 2004 U14 Female CCL","SYA 2004 U14 Female CCL","SOCA South Fork Soccer Park #2"
"FC Frederick 2005 U13 Male CCL","Arlington 2005 U13 Male CCL","Urbana High School #Stadium"
"DC Stoddert 2005 U13 Male CCL","Loudoun 2005 U13 Male CCL","Maryland SoccerPlex #6"
"Ellicott City 2005 U13 Male CCL","LMVSC 2005 U13 Male CCL","Troy Park #3"
