"Home","Away","Field","Age.Group","Gender"
"IRONBOUND SC 07BLUE-ALLIANCE U11 Boys EDP","RONKONKOMA SC REVOLUTION U11 Boys EDP","Riverbank Park #1","U11","Boys"
"FC COPA ACADEMY B07 BLACK U11 Boys EDP","WAYNE SC QUICK TOUCH 2007 U11 Boys EDP","Rutgers-Busch Sport Club Turf","U11","Boys"
"PDA HIBERNIAN GIGGS 07 U11 Boys EDP","FC EUROPA 07' PREMIER U11 Boys EDP","PDA South Westampton Sports Complex #1","U11","Boys"
"CEDAR STARS ACADEMY BERGEN 2007 BLACK U11 Boys EDP","NY STARS PREMIER GRAVITY U11 Boys EDP","Overpeck #1","U11","Boys"
"STA 2007 BOYS EDP U11 Boys EDP","IRONBOUND SC 07WHITE-JAGUARS U11 Boys EDP","Central Park 3B","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2008 GREEN U11 Boys EDP","NJ STALLIONS ACADEMY 07 REAL U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"MARYLAND UNITED FC 2007 ACADEMY U11 Boys EDP","A3 UNITED 2007 U11 Boys EDP","Murtaugh Field 02","U11","Boys"
"ALEXANDRIA SA 08 RED U11 Boys EDP","SAC UNITED BLUE 07 U11 Boys EDP","Witter Fields #1","U11","Boys"
"PREMIER SC WHITE 07 U11 Boys EDP","HARFORD FC UNITED 2008 MINGLE U11 Boys EDP","Notre Dame Prep School #1","U11","Boys"
"SHORE FC BLACK U11 Boys EDP","HENLOPEN TIDE U11 Boys EDP","Talbot County Community Center #1","U11","Boys"
"GLEN ROCK SHOOTING STARS 07 BOYS RED U11 Boys EDP","CEDAR STARS ACADEMY BERGEN WEST U11 FUSION WHITE U11 Boys EDP","Memorial","U11","Boys"
"COLONIA YOUTH COLONIA FC 7 U11 Boys EDP","CAPS GREATER FLEMINGTON CAPS 07 MONACO U11 Boys EDP","Home Depot Fields","U11","Boys"
"LIVERPOOL FCIA NEW JERSEY REDS U11 Boys EDP","MANALAPAN SC GPS 07B U11 Boys EDP","Weimann Field #1","U11","Boys"
"BORDENTOWN FC FUEL U11 Boys EDP","NEXT LEVEL SA 07 BOYS MONJAS U11 Boys EDP","Fenton Lane Park Field 2","U11","Boys"
"ROBBINSVILLE SA RAIDERS U11 Boys EDP","BORDENTOWN FC FUEL U11 Boys EDP","Robbinsville Community Park #7","U11","Boys"
"NJ WILDCATS LIONS U11 Boys EDP","PENINSULA SC VILLA EAGLES U11 Boys EDP","Manahassett Creek Park #1","U11","Boys"
"SDFC 2007B YELLOW U11 Boys EDP","NEW YORK RED BULLS RDS NJ 07 U11 Boys EDP","Sportsfriends Grass 9v9","U11","Boys"
"SAC PREMIER BLUE SPURS 2007 U11 Boys EDP","D.C. UNITED U11 U11 Boys EDP","Covenant Park Field 1A","U11","Boys"
"PDA SHORE 2007 DEBRUYNE U11 Boys EDP","MARLBORO SA 2007 GUNNERS BLUE U11 Boys EDP","Ocean County College Grass SS","U11","Boys"
"WSC ELITE BARCELONA U11 Boys EDP","PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP","WSC-SS #04","U11","Boys"
"YMS BLACKOUT U11 Boys EDP","PA RUSH ACADEMY 07 U11 Boys EDP","Macclesfield Park L","U11","Boys"
"SJEB 2007 JUVENTUS U11 Boys EDP","PRINCETON SA PREMIER ELITE 07 WHITE U11 Boys EDP","Tuckahoe (9v9) #7","U11","Boys"
"UNIVERSAL USC 07 U11 Boys EDP","ENCO 07 RED U11 Boys EDP","Ironbound Rec Center #1","U11","Boys"
"EPIC SPORTING STARS 2007 BLUE U11 Boys EDP","PASSAIC YOUTH SOCCER TIGERS BLUE U11 Boys EDP","Fairleigh Dickinson University - Florham Campus Grass","U11","Boys"
"SFL GALAXY U11 Boys EDP","JERSEY KNIGHTS SC FALCONS U11 Boys EDP","West Orange Armory/Soccer Palace","U11","Boys"
"WEST MORRIS SC PREMIER 07B U11 Boys EDP","FC BERNA LEGACY 07B U11 Boys EDP","Ralston Lower #1","U11","Boys"
"JERSEY CREW SC PYTHONS U11 Boys EDP","PASCACK FC PFC CANO U11 Boys EDP","Montville Community Turf #1","U11","Boys"
"OCEAN UNITED SA 07 STORM RED U11 Boys EDP","MARLTON GPS NJ PREMIER 07B U11 Boys EDP","Ocean Twp - Dow D2","U11","Boys"
"MANALAPAN SC GPS 07B U11 Boys EDP","MARLTON GPS NJ PREMIER 07B U11 Boys EDP","Rec Center A1","U11","Boys"
"BORDENTOWN FC FUEL U11 Boys EDP","ELITE PLAINFIELD CREW U11 Boys EDP","Friendship Fields","U11","Boys"
"ROBBINSVILLE SA RAIDERS U11 Boys EDP","MONROE TOWNSHIP SC FC FORCE WHITE U11 Boys EDP","Robbinsville Community Park #5","U11","Boys"
"VISTULA GARFIELD 2007 LEWANDOWSKI U11 Boys EDP","SILVER LAKE SA TIGERS U11 Boys EDP","Belmont Oval Field #1","U11","Boys"
"ARSENAL SOCCER SCHOOLS ACADEMY 2007 BERGKAMP U11 Boys EDP","PDA ZANETTI U11 Boys EDP","Arsenal Soccer Schools Academy Mt Olive Training Center","U11","Boys"
"JACKSON WARRIORS U11 Boys EDP","PHILADELPHIA SC COPPA 07 YOUNG GUNS U11 Boys EDP","Justice Complex 1B","U11","Boys"
"CEDAR STARS ACADEMY MONMOUTH B-2007 GREEN U11 Boys EDP","HOLMDEL FC NJX ATLETICO U11 Boys EDP","Capelli Sport Complex (Wayside Rd) #6 SS A","U11","Boys"
"D.C. UNITED U11 U11 Boys EDP","BALTIMORE UNION ELITE 07B U11 Boys EDP","RFK Turf Field #1","U11","Boys"
"BETHESDA SC PRE-ACADEMY I 07 U11 Boys EDP","PIPELINE SC BLACK NORTH U11 Boys EDP","Muldoons Farm #7","U11","Boys"
"CEDAR STARS ACADEMY BERGEN 2007 WHITE U11 Boys EDP","KINGS PARK X-TREME U11 Boys EDP","Overpeck #1","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP","FC COPA ACADEMY B07 BLACK U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"SJEB 2007 NEWCASTLE U11 Boys EDP","PDA HIBERNIAN GIGGS 07 U11 Boys EDP","Tuckahoe (9v9) #7","U11","Boys"
"LTSC 2007 (GREEN) U11 Boys EDP","PREMIER SC NAVY 07B U11 Boys EDP","Valley Fields North","U11","Boys"
"NY STARS PREMIER GRAVITY U11 Boys EDP","BSM ELITE 07 BARCELONA U11 Boys EDP","Randall's Island #45","U11","Boys"
"MT OLIVE SC PREMIER 2007 BLACK U11 Boys EDP","WORLD CLASS FC '07 NJTEANECK U11 Boys EDP","Turkey Brook Park #4","U11","Boys"
"SDFC 2007B BLACK U11 Boys EDP","NJ STALLIONS ACADEMY 07 REAL U11 Boys EDP","Newark Academy Grass","U11","Boys"
"CEDAR STARS ACADEMY STATEN ISLAND 2007 ROONEY U11 Boys EDP","STA 2007 BOYS EDP U11 Boys EDP","Owl Hollow OH#2","U11","Boys"
"HARLEYSVILLE FC RANGERS '07 U11 Boys EDP","MATCH FIT ACADEMY FC PRE ECNL 07 BLACK U11 Boys EDP","Alderfer A2","U11","Boys"
"A3 UNITED 2007 U11 Boys EDP","PACHUCA FC USA DRAGONS 07 U11 Boys EDP","Bell Branch Park D4","U11","Boys"
"GO PREMIER SOCCER 07 BLUE U11 Boys EDP","ALEXANDRIA SA 08 RED U11 Boys EDP","Maryland SoccerPlex #13B","U11","Boys"
"MATCH FIT MONTCLAIR UNITED 2007 BOYS U11 Boys EDP","CEDAR STARS ACADEMY NEWARK 2007 WHITE U11 Boys EDP","Brookdale Meadow Large BML","U11","Boys"
"BALTIMORE UNION RED 2008 U11 Boys EDP","HARFORD FC UNITED 2008 MINGLE U11 Boys EDP","Cowenton Park Field 01","U11","Boys"
"PREMIER SC WHITE 07 U11 Boys EDP","PIPELINE SC BLACK U11 Boys EDP","Notre Dame Prep School #1","U11","Boys"
"KIRKWOOD 07 WHITE U11 Boys EDP","SHORE FC BLACK U11 Boys EDP","KSC Field #01","U11","Boys"
"PASCO CC PRO U11 Boys EDP","WESTFIELD SA COLO COLO U11 Boys EDP","GOFFLE BROOK PARK","U11","Boys"
"JERSEY STARS CHELSEA JS U11 Boys EDP","ELITE PLAINFIELD UNITED U11 Boys EDP","Gunnell Oval Complex","U11","Boys"
"CAPS GREATER FLEMINGTON CAPS 07 MONACO U11 Boys EDP","GLEN ROCK SHOOTING STARS 07 BOYS RED U11 Boys EDP","Clover Hill Complex 8x8","U11","Boys"
"SB4U ACADEMY LANUS U11 Boys EDP","BSM ELITE 07 COBRAS U11 Boys EDP","Owl Hollow Soccer Field #2","U11","Boys"
"NEXT LEVEL SA 07 BOYS MONJAS U11 Boys EDP","CEDAR STARS ACADEMY MONMOUTH B-2007 WHITE U11 Boys EDP","NLSA Fenton Lane Fields #2","U11","Boys"
"FC EUROPA 07' PREMIER U11 Boys EDP","PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP","The Proving Ground #3","U11","Boys"
"SAN JUAN BAUTISTA 2007B U11 Boys EDP","WEST NEW YORK WNY TIGERS U11 U11 Boys EDP","Unassigned","U11","Boys"
"PHILADELPHIA SC COPPA 07 YOUNG GUNS U11 Boys EDP","FISHTOWN AC ROWDIES U11 Boys EDP","PSC/Agusta A6","U11","Boys"
"MANHATTAN KICKERS FC MKFC U11 Boys EDP","SUSA EAST B07 U11 Boys EDP","Pier 40 Rooftop RT","U11","Boys"
"CEDAR STARS ACADEMY BERGEN WEST U11 FUSION GREEN U11 Boys EDP","CEDAR STARS ACADEMY BERGEN 2007 WHITE U11 Boys EDP","Overpeck #1","U11","Boys"
"FC COPA ACADEMY B07 BLACK U11 Boys EDP","PDA AGUERO U11 Boys EDP","Rutgers-Busch Sport Club Turf","U11","Boys"
"PA RUSH ACADEMY 07 U11 Boys EDP","FC EUROPA 07' PREMIER U11 Boys EDP","Rush Soccer Complex #4","U11","Boys"
"PREMIER SC NAVY 07B U11 Boys EDP","WALDORF SC '07 BOYS - ORANGE U11 Boys EDP","Notre Dame Prep School #1","U11","Boys"
"NJ STALLIONS ACADEMY 07 REAL U11 Boys EDP","SFL DONOVAN U11 Boys EDP","Schuyler-Colfax Middle School #1","U11","Boys"
"UNIVERSAL USC 07 U11 Boys EDP","BRIDGEWATER SA JUVENTUS U11 Boys EDP","Ironbound Rec Center #1","U11","Boys"
"MORRIS ELITE 07B EDP U11 Boys EDP","UPPER FREEHOLD/ALLENTOWN SA UFA UNITED U11 Boys EDP","Lucy D Field","U11","Boys"
"ELIZABETH YSC PIRATES U11 Boys EDP","ELITE PLAINFIELD UNITED U11 Boys EDP","O'Brien Field","U11","Boys"
"ELITE PLAINFIELD STRIKERS U11 Boys EDP","JERSEY CREW SC PYTHONS U11 Boys EDP","Cedarbrook Park","U11","Boys"
"GPS NJ SOUTH 07 BOYS U11 Boys EDP","PENINSULA SC VILLA EAGLES U11 Boys EDP","Tyler Davis Fields","U11","Boys"
"MARLTON GPS NJ PREMIER 07B U11 Boys EDP","LIVERPOOL FCIA NEW JERSEY REDS U11 Boys EDP","Memorial Sports Complex M02a","U11","Boys"
"IRONBOUND SC 07BLUE-ALLIANCE U11 Boys EDP","LEHIGH VALLEY UNITED LVU 2007 BOYS BLACK U11 Boys EDP","Riverbank Park #1","U11","Boys"
"IRONBOUND SC 07WHITE-JAGUARS U11 Boys EDP","CENTERCOURT FC 07B GREEN U11 Boys EDP","RiverBank Park","U11","Boys"
"SILVER LAKE SA TIGERS U11 Boys EDP","VALENCIA CF ACADEMY NY 2007 BLACK U11 Boys EDP","Miller Field #5","U11","Boys"
"HOLMDEL FC NJX ATLETICO U11 Boys EDP","LEHIGH VALLEY UNITED LVU 2007 BOYS BLACK U11 Boys EDP","CROSS FARMS FIELD #2","U11","Boys"
"BALTIMORE UNION ELITE 07B U11 Boys EDP","ALEXANDRIA SA 07B RED U11 Boys EDP","Cowenton Park Field 01","U11","Boys"
"SAC PREMIER BLUE SPURS 2007 U11 Boys EDP","BETHESDA SC PRE-ACADEMY I 07 U11 Boys EDP","Covenant Park Field 8B","U11","Boys"
"KINGS PARK X-TREME U11 Boys EDP","WORLD CLASS FC '07 NJ RED U11 Boys EDP","Tiffany Fields #1","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP","WAYNE SC QUICK TOUCH 2007 U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"PA RUSH ACADEMY 07 U11 Boys EDP","VEREINIGUNG ERZGEBIRGE GUNNERS 07 U11 Boys EDP","Rush Soccer Complex #4","U11","Boys"
"SAC PREMIER WHITE 07 U11 Boys EDP","ACHILLES FC 07 U11 Boys EDP","Covenant Park Field 8B","U11","Boys"
"BRAUSA UNITED FUTEBOL 07 U11 Boys EDP","HPSC LITTLE TIGERS 07 WHITE U11 Boys EDP","Linover Park #1","U11","Boys"
"WORLD CLASS FC '07 NJ WHITE U11 Boys EDP","MT OLIVE SC PREMIER 2007 BLACK U11 Boys EDP","SUPERDOME -outdoor turf field","U11","Boys"
"NEW YORK SURF B07 WESTCHESTER U11 Boys EDP","PLAYERS EYE FC BOYS 2007 U11 Boys EDP","SUNY Purchase","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2008 GREEN U11 Boys EDP","SDFC 2007B BLACK U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"WASHINGTON UNITED ELITE '07 BOYS U11 Boys EDP","HARLEYSVILLE FC RANGERS '07 U11 Boys EDP","WLP (9v9) #8","U11","Boys"
"SAC UNITED BLUE 07 U11 Boys EDP","GO PREMIER SOCCER 07 BLUE U11 Boys EDP","Covenant Park Field 8B","U11","Boys"
"ALEXANDRIA SA 08 RED U11 Boys EDP","NLS AJAX 07 U11 Boys EDP","Ft. Ward Park Turf","U11","Boys"
"EPIC SPORTING STARS 2007 BLUE U11 Boys EDP","CEDAR STARS ACADEMY NEWARK 2007 WHITE U11 Boys EDP","Fairleigh Dickinson University - Florham Campus Grass","U11","Boys"
"MERAKI F.C. PRE ACADEMY 07/08 U11 Boys EDP","MATCH FIT MONTCLAIR UNITED 2007 BOYS U11 Boys EDP","Barrett Field","U11","Boys"
"HARFORD FC UNITED 2008 MINGLE U11 Boys EDP","BALTIMORE UNION RED 2008 U11 Boys EDP","Schucks Regional Park #1","U11","Boys"
"HENLOPEN TIDE U11 Boys EDP","RIVER 2007 BOYS U11 Boys EDP","Sussex Academy #1","U11","Boys"
"EAST BRUNSWICK SC STA LIVERPOOL U11 Boys EDP","PASCO CC PRO U11 Boys EDP","Dideriksen Park 1A","U11","Boys"
"GLEN ROCK SHOOTING STARS 07 BOYS RED U11 Boys EDP","COLONIA YOUTH COLONIA FC 7 U11 Boys EDP","Memorial","U11","Boys"
"NORTHERN VALLEY U10 - MCAULEY U11 Boys EDP","ELITE PLAINFIELD UNITED U11 Boys EDP","Stone Point Park","U11","Boys"
"WEST MORRIS SC PREMIER 07B U11 Boys EDP","SUMMIT SC JUVENTUS U11 Boys EDP","Ralston Lower #1","U11","Boys"
"HOBOKEN CITY FUTBOL 2007B U11 Boys EDP","FCUSA 2007 BOYS U11 Boys EDP","1600 Park","U11","Boys"
"XAFC NJ GOLD U11 Boys EDP","PRINCETON FC INTER ORANGE U11 Boys EDP","Dorbrook Park #1","U11","Boys"
"STA-MUSC 2007B NPL U11 Boys EDP","FC EUROPA 07' ELITE U11 Boys EDP","Central Park 3B","U11","Boys"
"NEW YORK RED BULLS RDS NYS 07 U11 Boys EDP","VALENCIA CF ACADEMY NY 2007 BLACK U11 Boys EDP","New York Red Bulls Training Facility A","U11","Boys"
"PDA ZANETTI U11 Boys EDP","SDFC 2007B YELLOW U11 Boys EDP","PDA 1B SS","U11","Boys"
"FREEDOM STORM U11 Boys EDP","PIPELINE SC BLACK NORTH U11 Boys EDP","Oklahoma Road MS Middle Field","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP","PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"DEPTFORD PREMIER FC '07 BOYS U11 Boys EDP","CHERRY HILL FC DIABLOS U11 Boys EDP","Cattell Complex in Deptford #1","U11","Boys"
"FC EUROPA 07' PREMIER U11 Boys EDP","PHILADELPHIA UKRAINIAN NATIONALS '07 BLACK SHAKHTAR U11 Boys EDP","Delaware Valley Friends School DVFS","U11","Boys"
"PLAYERS EYE FC BOYS 2007 U11 Boys EDP","BSM ELITE 07 BARCELONA U11 Boys EDP","Yorktown Sports Complex #1","U11","Boys"
"CEDAR STARS ACADEMY STATEN ISLAND 2007 ROONEY U11 Boys EDP","NJ STALLIONS ACADEMY 07 REAL U11 Boys EDP","Owl Hollow OH#2","U11","Boys"
"SAC UNITED BLUE 07 U11 Boys EDP","JOUONS FOOTBALL FC 07 U11 Boys EDP","Covenant Park Field 8A","U11","Boys"
"A3 UNITED 2007 U11 Boys EDP","CALVERT CSA RIPTIDE BLACK 07B U11 Boys EDP","Bell Branch Park D4","U11","Boys"
"UPPER FREEHOLD/ALLENTOWN SA UFA UNITED U11 Boys EDP","EPIC SPORTING STARS 2007 BLUE U11 Boys EDP","Mark Harbourt Complex #4","U11","Boys"
"MATRIX MAESTROS U11 Boys EDP","SALISBURY UNITED SC 07 GOLD U11 Boys EDP","MAYS (Mid-Atlantic Youth Sportsplex) #1","U11","Boys"
"EAST BRUNSWICK SC STA LIVERPOOL U11 Boys EDP","NASA UNITED JUVENTUS U11 Boys EDP","Dideriksen Park 1A","U11","Boys"
"AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP","HOBOKEN CITY FUTBOL 2007B U11 Boys EDP","EZ School #26 Westminster #2","U11","Boys"
"PRINCETON FC INTER BLACK U11 Boys EDP","OCEAN UNITED SA 07 STORM RED U11 Boys EDP","Princeton FC Smoyer Park SF","U11","Boys"
"LEHIGH VALLEY UNITED LVU 2007 BOYS BLACK U11 Boys EDP","STA-MUSC 2007B NPL U11 Boys EDP","Lehigh County Sports Fields #2","U11","Boys"
"SUSA EAST B07 U11 Boys EDP","SILVER LAKE SA TIGERS U11 Boys EDP","Baymen Soccer Complex #4","U11","Boys"
"LEHIGH VALLEY UNITED LVU 2007 BOYS BLACK U11 Boys EDP","MIDDLETOWN SC ARSENAL RED U11 Boys EDP","Lehigh County Sports Fields #2","U11","Boys"
"FC SPORTIKA ACADEMY 2007B U11 Boys EDP","FC EUROPA 07' ELITE U11 Boys EDP","Sportika Sports","U11","Boys"
"PIPELINE SC 2007B BLACK U11 Boys EDP","ALEXANDRIA SA 07B RED U11 Boys EDP","Baltimore PolyTech HS 9v9","U11","Boys"
"VALENCIA CF ACADEMY NY 2007 WHITE U11 Boys EDP","A.S. JUNIOR ELITE - 2007 BOYS U11 Boys EDP","LIU: CW Post Campus #1","U11","Boys"
"PDA SHORE 2007 DEBRUYNE U11 Boys EDP","WAYNE SC QUICK TOUCH 2007 U11 Boys EDP","Ocean County College Grass SS","U11","Boys"
"PDA HIBERNIAN GIGGS 07 U11 Boys EDP","VEREINIGUNG ERZGEBIRGE GUNNERS 07 U11 Boys EDP","PDA South Westampton Sports Complex #1","U11","Boys"
"CENTRAL CARROLL STRIKERS U11 Boys EDP","BRAUSA UNITED FUTEBOL 07 U11 Boys EDP","Sandymount Elementary School #1","U11","Boys"
"WORLD CLASS FC '07 NJ WHITE U11 Boys EDP","CEDAR STARS ACADEMY BERGEN 2007 BLACK U11 Boys EDP","World Class FC/Waldwick SuperDome #1","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2008 GREEN U11 Boys EDP","IRONBOUND SC 07WHITE-JAGUARS U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"WARRINGTON 2007 HAWKS U11 Boys EDP","MATCH FIT ACADEMY FC PRE ECNL 07 BLACK U11 Boys EDP","King II #1 Upper","U11","Boys"
"GO PREMIER SOCCER 07 BLUE U11 Boys EDP","PACHUCA FC USA DRAGONS 07 U11 Boys EDP","South Gunner's Branch Local Park #1","U11","Boys"
"ENCO 07 RED U11 Boys EDP","BRIDGEWATER SA JUVENTUS U11 Boys EDP","Fox Run Fields 9 v 9","U11","Boys"
"CEDAR STARS ACADEMY NEWARK 2007 WHITE U11 Boys EDP","FC SPORTIKA ACADEMY 2007B WHITE U11 Boys EDP","Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1","U11","Boys"
"FC USA 2007 U11 Boys EDP","PREMIER SC WHITE 07 U11 Boys EDP","Cedar Lane RP (Harford)","U11","Boys"
"HENLOPEN TIDE U11 Boys EDP","KIRKWOOD 07 WHITE U11 Boys EDP","Sussex Academy #1","U11","Boys"
"ELITE PLAINFIELD CREW U11 Boys EDP","PASCO CC PRO U11 Boys EDP","Cedarbrook Park","U11","Boys"
"COLONIA YOUTH COLONIA FC 7 U11 Boys EDP","ELIZABETH YSC PIRATES U11 Boys EDP","Home Depot Fields","U11","Boys"
"CENTERCOURT FC 07B BLUE U11 Boys EDP","FC BERNA LEGACY 07B U11 Boys EDP","CFC Field 1","U11","Boys"
"WEST MORRIS SC PREMIER 07B U11 Boys EDP","PATERSON REC UNISAMBA U11 Boys EDP","Ralston Lower #1","U11","Boys"
"FCUSA 2007 BOYS U11 Boys EDP","FC POCONO ELITE FUTURES U11 Boys EDP","The Willow School","U11","Boys"
"NJ WILDCATS LIONS U11 Boys EDP","MARLTON GPS NJ PREMIER 07B U11 Boys EDP","Manahassett Creek Park #1","U11","Boys"
"WASHINGTON UNITED ELITE '07 BOYS U11 Boys EDP","UPPER FREEHOLD/ALLENTOWN SA UFA UNITED U11 Boys EDP","WLP (9v9) #7","U11","Boys"
"PRINCETON FC INTER ORANGE U11 Boys EDP","WEST NEW YORK WNY TIGERS U11 U11 Boys EDP","Princeton FC Smoyer Park SF","U11","Boys"
"BORDENTOWN FC FUEL U11 Boys EDP","FC SPORTIKA CLUB U11 Boys EDP","Friendship Fields","U11","Boys"
"SAN JUAN BAUTISTA 2007B U11 Boys EDP","WEST NEW YORK WNY TIGERS U11 U11 Boys EDP","Unassigned","U11","Boys"
"BALTIMORE CELTIC SC LLC 2007B U11 Boys EDP","D.C. UNITED U11 U11 Boys EDP","4 Seasons Sports Complex #2","U11","Boys"
"CEDAR STARS ACADEMY BERGEN WEST U11 FUSION GREEN U11 Boys EDP","RONKONKOMA SC REVOLUTION U11 Boys EDP","Overpeck #1","U11","Boys"
"FC COPA ACADEMY B07 BLACK U11 Boys EDP","MARLBORO SA 2007 GUNNERS BLUE U11 Boys EDP","Rutgers-Busch Sport Club Turf","U11","Boys"
"PRINCETON FC LIVERPOOL U11 Boys EDP","CEDAR STARS ACADEMY NEWARK 2007 GREEN U11 Boys EDP","Princeton FC Smoyer Park SF","U11","Boys"
"CENTRAL CARROLL STRIKERS U11 Boys EDP","ACHILLES FC 07 U11 Boys EDP","Sandymount Elementary School #1","U11","Boys"
"WALDORF SC '07 BOYS - ORANGE U11 Boys EDP","SAC PREMIER WHITE 07 U11 Boys EDP","Bryantown Sports Complex #6","U11","Boys"
"BSM ELITE 07 BARCELONA U11 Boys EDP","WORLD CLASS FC '07 NJTEANECK U11 Boys EDP","Palisades Park Sports Complex","U11","Boys"
"NEW YORK SURF B07 WESTCHESTER U11 Boys EDP","ALLEYCATS ACADEMY RED 2007B U11 Boys EDP","SUNY Purchase","U11","Boys"
"PRINCETON SA PREMIER ELITE 07 WHITE U11 Boys EDP","WASHINGTON UNITED ELITE '07 BOYS U11 Boys EDP","Greenway Meadows Park SS Â","U11","Boys"
"NLS AJAX 07 U11 Boys EDP","PACHUCA FC USA DRAGONS 07 U11 Boys EDP","Swann Park","U11","Boys"
"MERAKI F.C. PRE ACADEMY 07/08 U11 Boys EDP","UPPER FREEHOLD/ALLENTOWN SA UFA UNITED U11 Boys EDP","Barrett Field","U11","Boys"
"NASA UNITED JUVENTUS U11 Boys EDP","ELITE PLAINFIELD CREW U11 Boys EDP","NASA - George Washington Middle School","U11","Boys"
"FC POCONO ELITE FUTURES U11 Boys EDP","AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP","Minisink Soccer Complex","U11","Boys"
"ELITE PLAINFIELD STRIKERS U11 Boys EDP","WIZARDS SPORTS MADRID U11 Boys EDP","Cedarbrook Park","U11","Boys"
