"fields_full","Freq"
"Randallâs Island #82",1
"Randallâs Island #90",1
"Randalls #83",1
"Randalls Island #45",1
"Randalls Island #80",1
"Reservoir High School",1
"Richboro Elementary #23",1
"Ridge Road Rec Center DC",1
"Ridge Road Rec Pk Field 04",1
"Ridgewood HS Stadium #1",1
"Ridgewood Park #1",1
"River Hill High School Stadium",1
"RiverFront Park",1
"Robbinsville Community Park #5",1
"Robbinsville Community Park #6",1
"Robbinsville Community Park #7",1
"Robbinsville High School #1",1
"Rosedale Rec Center",1
"Rustin High School Turf Field #1",1
"Rutgers-Busch University Park Turf 2",1
"Saint John Vianney HS",1
"Sandymount Elementary School #1",1
"Sandymount Elementary School #3",1
"Schucks Regional Park",1
"SDFC 09 Fortunato Field HS",1
"Seventh District Elementary School #1",1
"Shelter Cove FS #13",1
"Shelter Cove SS #15",1
"Shissler Rec",1
"Shore Rd Park #1",1
"Sidwell Friends School #1",1
"Soldier #2",1
"Soldier Field 02",1
"Somers High School #2",1
"Somers High School T2",1
"South Run District Park Turf #6",1
"Southern HS #1",1
"Sparta Church Field #1",1
"SPFSA VoTech #1A",1
"Sportfriends Grass Oval",1
"Sportsfriends Turf",1
"Sprague Field #1",1
"St Rose Fields #1",1
"St. James School Turf",1
"St. John Vianney RC",1
"St. Mary's Ryken High School",1
"Stoney Brook Field #1",1
"Stony Brook Field #1",1
"Stony Brook P-Lot #2",1
"Stony Brook University Turf #1",1
"STRONGHOLD SC - Gill St. Bernard's School #1",1
"Summit Investors Field #01",1
"Summit Memorial Varsity #01",1
"SUPERDOME -outdoor turf field",1
"Sussex Academy Field 01",1
"Swim and Sport Club #01",1
"Tamaques Park",1
"Tamaques School",1
"TBD TBD",1
"Temple University - Ambler PA Campus #1",1
"The Proving Grounds 1A",1
"Thompson Park",1
"Thompson Park #2",1
"Tibbetts Brook Park #2",1
"Ticetown",1
"Tickneck Park #1",1
"Tinton Falls",1
"Tinton Falls/Sycamore Soccer Complex #1",1
"Tinton Falls/Sycamore Soccer Complex #2",1
"Tomlinson Middle School #1",1
"Torpey Athletic Complex",1
"TSF Academy",1
"Turk #3",1
"Turkey Brook Park #2",1
"Turkey Swamp Park",1
"Twin Pines 11v11",1
"UASC #2",1
"UASC #5",1
"UASC 6a",1
"UASC 6b",1
"UGH Club #3",1
"Ukrainian Nationals Sports Complex #2",1
"Ukrainian Nationals Sports Complex 5A",1
"United Sports #05",1
"United Sports #07",1
"University of Bridgeport Knights Field #1",1
"Valleybrook #1",1
"Venetian Shores Park #1",1
"Veterans Field",1
"Veterans Park Hamilton 9v9 #1",1
"W.N.Y. Centennial Field #1",1
"Walker Mill RP #1",1
"Wardlaw Hartridge School #1",1
"Warwick Town Park P1",1
"Watsessing Field",1
"Waugh Chapel ES (9v9)",1
"Wayne Hills HS Turf",1
"Wayne Valley High School",1
"WCP #7",1
"Welsh Valley Middle School #1",1
"WEST CALDWELL MEMORIAL FIELD 8 vs 8",1
"Western Reg. Park Field 04",1
"Western Regional Park #5",1
"Wheeler Park #1",1
"White Marsh Park (Eastern Shore) B",1
"White Plains High School Grass #5",1
"White Plains High School Turf #1",1
"Whitemarsh Park E",1
"Wilde Memorial Park #1",1
"Wilson Farm Park #1",1
"World Class Turf #4",1
"WSC-SS #04",1
"WSC-SS #05",1
"WSC-SS 01B",1
"WTHS (11/12) Turf #10",1
"YSC Sports #1",1
