"Home","Away","Field"
"Eagles Soccer Club U-16/17 Girls USDA","Legends FC U-16/17 Girls USDA","Field 14"
"Empire United U-16/17 Girls USDA","FC Fury NY U-16/17 Girls USDA","Empire United Soccer Complex"
"FC Virginia U-16/17 Girls USDA","Washington Spirit Academy - Baltimore Armour U-16/17 Girls USDA","Field 2"
"Indiana Fire Academy U-16/17 Girls USDA","Sockers FC U-16/17 Girls USDA","Grand Park Sports Campus - Field 3 (Turf)"
"LA Galaxy San Diego U-16/17 Girls USDA","West Coast Futbol Club U-16/17 Girls USDA","Pacific Ridge School"
"Long Island SC U-16/17 Girls USDA","FC Stars U-16/17 Girls USDA","Hofstra University"
"Placer United SC U-15 Girls USDA","Burlingame Soccer Club U-15 Girls USDA","Mahany Park"
"Boston Breakers Academy U-16/17 Girls USDA","Sky Blue - NYSC U-16/17 Girls USDA","Field 2"
"Sky Blue - PDA U-16/17 Girls USDA","Washington Spirit Academy - Virginia U-16/17 Girls USDA","PDA #3 "
"Cedar Stars Academy - Monmouth U-14 Girls USDA","Virginia Development Academy U-14 Girls USDA","Capelli Sport Complex - Field 3 FS"
"FC Kansas City U-18/19 Girls USDA","Houston Dash U-18/19 Girls USDA","Field 1"
"SPORTING Blue Valley U-18/19 Girls USDA","Lonestar SC Academy U-18/19 Girls USDA","Field #12"
"Oakwood Soccer Club U-16/17 Girls USDA","New York City FC U-16/17 Girls USDA","TD Bank OSP #1 (front field)"
"Eagles Soccer Club U-18/19 Girls USDA","Legends FC U-18/19 Girls USDA","Field 14"
"Empire United U-18/19 Girls USDA","FC Fury NY U-18/19 Girls USDA","Empire United Soccer Complex"
"FC Virginia U-18/19 Girls USDA","Washington Spirit Academy - Baltimore Armour U-18/19 Girls USDA","Field 2"
"LA Galaxy San Diego U-18/19 Girls USDA","West Coast Futbol Club U-18/19 Girls USDA","Pacific Ridge School"
"Placer United SC U-16/17 Girls USDA","Burlingame Soccer Club U-16/17 Girls USDA","Mahany Park"
"Indiana Fire Academy U-18/19 Girls USDA","Sockers FC U-18/19 Girls USDA","Grand Park Sports Campus - Field 3 (Turf)"
"Boston Breakers Academy U-18/19 Girls USDA","Sky Blue - NYSC U-18/19 Girls USDA","Field 2"
"Long Island SC U-18/19 Girls USDA","FC Stars U-18/19 Girls USDA","Mitchel Athletic Complex"
