"Home","Away","Field"
"Richmond United ECNL U17","McLean YSA ECNL U17","West Creek - Field 8"
"Carolina Elite Soccer Academy ECNL U17","NC Fusion ECNL U17","Mesa Complex - Field 5"
"NCFC Youth ECNL U17","BRYC Elite Academy ECNL U17","WRAL Soccer Center - Stadium"
"BRYC Elite Academy ECNL U17","Richmond United ECNL U17","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U17","Carolina Rapids ECNL U17","Mesa Complex - Field 5"
"NCFC Youth ECNL U17","McLean YSA ECNL U17","WRAL Soccer Center - Travers Lasik"
"NC Fusion ECNL U17","South Carolina United ECNL U17","BP Field - BP 02 Triton Management"
"McLean YSA ECNL U17","Carolina Rapids ECNL U17","Lewinsville Park - Field 2"
"South Carolina United ECNL U17","NCFC Youth ECNL U17","SCUFC Monticello Road Complex - Stadium B"
"BRYC Elite Academy ECNL U17","NC Fusion ECNL U17","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U17","Richmond United ECNL U17","Mesa Complex - Field 5"
"McLean YSA ECNL U17","NC Fusion ECNL U17","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U17","Carolina Rapids ECNL U17","Robinson High School - Upper Turf"
"South Carolina United ECNL U17","Richmond United ECNL U17","SCUFC Monticello Road Complex - Stadium B"
"Carolina Elite Soccer Academy ECNL U17","NCFC Youth ECNL U17","Mesa Complex - Field 5"
"BRYC Elite Academy ECNL U17","South Carolina United ECNL U17","Robinson High School - Upper Turf"
"McLean YSA ECNL U17","Carolina Elite Soccer Academy ECNL U17","Lewinsville Park - Field 2"
"NC Fusion ECNL U17","Richmond United ECNL U17","BBandT Soccer Park - Field 3"
"McLean YSA ECNL U17","South Carolina United ECNL U17","Lewinsville Park - Field 2"
"Carolina Rapids ECNL U17","Richmond United ECNL U17","Matthews Sportsplex - Field 9"
"NC Fusion ECNL U17","NCFC Youth ECNL U17","BP Field - BP 08 Secret"
"BRYC Elite Academy ECNL U17","Carolina Elite Soccer Academy ECNL U17","Robinson High School - Upper Turf"
"BRYC Elite Academy ECNL U17","NCFC Youth ECNL U17","Woodson High School - Auxiliary Turf Field"
"South Carolina United ECNL U17","Carolina Rapids ECNL U17","SCUFC Monticello Road Complex - Stadium B"
"McLean YSA ECNL U17","Richmond United ECNL U17","Lewinsville Park - Field 2"
"NC Fusion ECNL U17","Carolina Elite Soccer Academy ECNL U17","BP Field - BP 07"
"Richmond United ECNL U17","Carolina Elite Soccer Academy ECNL U17","River City Sportsplex - Field 11"
