"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"10/01/2017","01:45 PM","360","OD0812B","LOUD 08B Gray",5,7,"OD0804B","ARL 08B Gold","Ida Lee Park #1","U10 Division B2","ODSL"
"10/15/2017","10:30 AM","967","OD0737G","LOUD 07G Gray",0,2,"OD0739G","TAFC 07 Freedom","Ida Lee Park #1","U11 Division G2","ODSL"
"10/15/2017","12:00 PM","1914","OD0581G","LOUD 05G Gray",0,3,"OD0588G","CFC 05G Red","Ida Lee Park #2","U13 Division G1","ODSL"
"10/15/2017","12:00 PM","217","OD0917G","LOUD 09G Gray",0,4,"OD0920G","BRYC Shooting Stars","Loudoun Soccer Park Field#1 C/D","U09 Girls Div Calypso","ODSL"
"10/15/2017","01:30 PM","2259","OD04103G","LOUD 04G Silver",2,1,"OD0331G","VYS Fire white","Ida Lee Park #2","U14 Division G1","ODSL"
"10/21/2017","12:00 PM","2269","OD0420G","LOUD 04G Gray",1,6,"OD04105G","PWSI Courage Girls 2004 Pride","Loudoun Soccer Park Field #2","U14 Division G1","ODSL"
"10/22/2017","10:30 AM","1274","OD0610B","LOUD 06B Gray",5,5,"OD0644B","SCSL Trail Blazers","Ida Lee Park #1","U12 Division B2","ODSL"
"10/22/2017","10:30 AM","2262","OD04103G","LOUD 04G Silver",1,0,"OD0420G","LOUD 04G Gray","Ida Lee Park #2","U14 Division G1","ODSL"
"10/22/2017","12:00 PM","1473","OD0668G","LOUD 06G Gray",1,4,"OD0638G","ARL 06G Silver","Ida Lee Park #1","U12 Division G1","ODSL"
"10/22/2017","12:00 PM","2180","OD04101B","LOUD 04B Silver",3,1,"OD04114B","LPFC 2004B","Ida Lee Park #2","U14 Division B2","ODSL"
"10/29/2017","10:30 AM","976","OD0737G","LOUD 07G Gray",8,0,"OD0735G","BRYC Phoenix","Loudoun Soccer Park LSP #2 A/B","U11 Division G2","ODSL"
"10/29/2017","12:00 PM","128","OD0907B","LOUD 09B Gray",2,0,"OD9021B","FCVA FCV Elite","Loudoun Soccer Park Field #1A/B","U09 Boys Div Monroe","ODSL"
"10/29/2017","12:00 PM","1684","OD0526B","LOUD 05B Gray",1,2,"OD0587B","WIN 2005 Blue","Ida Lee Park #2","U13 Division B1","ODSL"
"10/29/2017","01:30 PM","369","OD0812B","LOUD 08B Gray",2,4,"OD0817B","WIN 08B Orange","Loudoun Soccer Park Field #1A/B","U10 Division B2","ODSL"
"11/04/2017","01:30 PM","375","OD0812B","LOUD 08B Gray",1,1,"OD0832B","CFC 08B Red","Conklin Park #3","U10 Division B2","ODSL"
"11/05/2017","10:30 AM","1481","OD0668G","LOUD 06G Gray",2,1,"OD0647G","TCSC Freedom","Loudoun Soccer Park LSP #2 A/B","U12 Division G1","ODSL"
"11/05/2017","12:00 PM","130","OD0907B","LOUD 09B Gray",2,0,"OD0909B","ALEX 09 Boys Silver","Loudoun Soccer Park LSP #2 A/B","U09 Boys Div Monroe","ODSL"
"11/05/2017","01:30 PM","229","OD0917G","LOUD 09G Gray",5,1,"OD0914G","ARL 09G Gold","Loudoun Soccer Park LSP #2 A/B","U09 Girls Div Calypso","ODSL"
"11/05/2017","02:00 PM","1923","OD0581G","LOUD 05G Gray",0,7,"OD0513G","CCS FC Fury","Loudoun Soccer Park Field #1","U13 Division G1","ODSL"
"11/05/2017","03:00 PM","372","OD0812B","LOUD 08B Gray",1,1,"OD0828B","GSC 08 Boys Black","Loudoun Soccer Park LSP #2 A/B","U10 Division B2","ODSL"
"11/05/2017","05:00 PM","2190","OD04101B","LOUD 04B Silver",4,1,"OD0379B","PAC Elite 04 Gold","Loudoun Soccer Park Field #1","U14 Division B2","ODSL"
"11/12/2017","10:30 AM","1286","OD0610B","LOUD 06B Gray",3,2,"OD0619B","GRFL 06 Force","Byrnes Ridge Park Field #4","U12 Division B2","ODSL"
"11/12/2017","12:00 PM","2191","OD04101B","LOUD 04B Silver",3,0,"OD03101B","CYA 04B White","Byrnes Ridge Park Field #5","U14 Division B2","ODSL"
"09/09/2017","02:00 PM","370","OD0829B","MSC Lions 08 Black",7,2,"OD0804B","ARL 08B Gold","Emmanuel Christian School Field#1","U10 Division B2","ODSL"
"09/09/2017","03:30 PM","2352","OD02145B","MSC Lions 02",2,1,"OD02143B","RWFC BVB Dortmund","Emmanuel Christian School Field#1","U15-16 Division B1","ODSL"
"09/16/2017","10:15 AM","1657","OD0590B","MSC Lions 05",11,0,"OD0466B","WYSC Mustangs 05B","Emmanuel Christian School Field#1","U13 Division B1","ODSL"
