"Names","Street.Address","City","State","Zip.Code"
"Curtis Park","58 Jesse Curtis Ln","Fredericksburg","VA","22405"
"Darden Towe Park","389 Elk Drive","Charlottesville","VA","22911"
"Devonshire Center","2831 Graham Road","Falls Church","VA","22042"
"Dixon Park","1300 Dixon St","Fredericksburg","VA","22401"
"Draper Drive Park","Draper Drive","Fairfax City","VA","22030"
"Drew Middle School","Route 1","Falmouth","VA","22405"
"Duff Green Park","75 James Ashby Parkway","Fredericksburg","VA","22405"
"Dupont Soccer Complex","159 Dupont Road","Martinsburg","WV",
"E. Vaughan ES","2200 York Dr","Woodbridge","VA","22191"
"Eagle Ridge MS","42901 Waxpool Rd","Ashburn","VA","20147"
"Eagle View ES","4500 Dixie Hill Road","Fairfax","VA","22033"
"East Gate Park","43644 Tall Timbers Parkway","Chantilly","VA","20152"
"Eastern HS","1700 East Capitol St SE","Washington","DC","20003"
"Eastern View High School","16332 Cyclone Way","Culpeper","VA","22701"
"Edison HS","5801 Franconia Road","Alexandria","VA","22310"
"EDS Field","3215 Centreville Road","Herndon","VA","20171"
"Ellanor C. Lawrence Park","Route 28","Chantilly","VA",
"Embrey Mill Athletic Fields","1600 Mine Road","Stafford","VA","22554"
"Emerald Hill ES","11245 Rixeyville Road","Culpeper","VA","22701"
"Emmanuel Christian School","8302 Spruce St","Manassas","VA","20111"
"Eugene Simpson","426 East Monroe Ave","Alexandria","VA","22301"
"Evergreen Mill ES","Evergreen Mill Road","Leesburg","VA","20176"
"Evergreen Sportsplex","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Fairfax HS","3500 Old Lee Highway","Fairfax","VA","22030"
"Fairfax Sportsplex","VA",,,
"Fairfax Villa","VA",,,
"Fairhill ES","Chichester Drive","Fairfax","VA","22032"
"Fairlington Community Center","3308 S Stafford St","Arlington","VA","22206"
"Fairview ES","5818 Ox Road","Fairfax Station","VA",
"Fairview ES","5818 Ox Road","Fairfax Station","VA",
"Falls Church HS","7521 Jaguar Trail","Falls Church","VA","22042"
"Falls Church HS","7521 Jaguar Trail","Falls Church","VA","22042"
"Fannie W Fitzgerald ES","15500 Benita Fitzgerald Dr","Dale City","VA","22193"
"Farmwell Station MS","VA",,,
"FASA Park Field Complex","1898 Mills Dr","Fredericksburg","VA","22408"
"Fauquier HS","705 Waterloo Road","Warrenton","VA","20186"
"FCSC/Northern Complex","Route 55","Marshall","VA","20115"
"FFC Park @ Spotsylvania Sportsplex","1898 Mills Drive","Fredericksburg","VA","22408"
"Fictitious",,,,
"Fields Park","850 N George Mason Drive","Arlington","VA","22207"
"Fincastle","Fincastle Dr &amp; Ashburn Village Blvd","Ashburn","VA","20147"
"Flint Hill ES","2444 Flint Hill Road","Vienna","VA","22181"
"Floris ES","2708 Centreville Road","Herndon","VA","20171"
"Floyd T. Binns MS","205 E Grandview Ave","Culpeper","VA","22701"
"Forest Grove ES","43245 Forest Ridge Dr","Sterling","VA","20164"
"Fort Belvoir ES","VA",,,
"Fort Hunt ES","Linton Lane","Alexandria","VA","22309"
"Fort Reno","4000 Chesapeake St NW","Washington","DC",
"Fort Stevens","1327 Van Buren St","NW","Wash ington","DC"
"Fort Ward Soccer Field","4301 West Braddock Rd ü¾Œ†„¼ Alexandria","VA","22","Alexandria"
"Four Mile Run Field","3700 Commonwealth Avenue","Alexandria","VA","22305"
