Field,Team1,Team2,Age.Group,Gender
z - Charlottesville,SOCA Cville U13 Boys Premier U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Central Virginia United,SOCA Augusta U13 Boys Premier U13 Boys SCSL,CVU U13 Boys U13 Boys SCSL,U13,Boys
z - Shenandoah Valley United,SVU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Charlottesville,SOCA Cville U13 Boys Premier U13 Boys SCSL,SOCA Augusta U13 Boys Premier U13 Boys SCSL,U13,Boys
z - Shenandoah Valley United,SOCA Cville U13 Boys Premier U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
z - Valley AFC,CVU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Valley AFC,SOCA Augusta U13 Boys Premier U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Shenandoah Valley United,SVU U13 Boys U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Central Virginia United,CVU U13 Boys U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
z - Valley AFC,NRU U13 Boys U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Central Virginia United,SOCA Cville U13 Boys Premier U13 Boys SCSL,CVU U13 Boys U13 Boys SCSL,U13,Boys
z - Charlottesville,SOCA Cville U13 Boys Premier U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Augusta,SOCA Augusta U13 Boys Premier U13 Boys SCSL,SVU U13 Boys U13 Boys SCSL,U13,Boys
z - Central Virginia United,CVU U13 Boys U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - New River United,SOCA Augusta U13 Boys Premier U13 Boys SCSL,NRU U13 Boys U13 Boys SCSL,U13,Boys
z - Charlottesville,SOCA Cville U13 Boys Premier U13 Boys SCSL,CVU U13 Boys U13 Boys SCSL,U13,Boys
z - Augusta,SOCA Augusta U13 Boys Premier U13 Boys SCSL,Valley FC U13 Boys U13 Boys SCSL,U13,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,SOCA Cville U14 Boys Classic U14 Boys SCSL,U14,Boys
z - New River United,NRU U14 Boys White U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Classic U14 Boys SCSL,NRU U14 Boys White U14 Boys SCSL,U14,Boys
z - Central Virginia United,CVU U14 Boys U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - New River United,NRU U14 Boys White U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Shenandoah Valley United,CVU U14 Boys U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - New River United,SOCA Cville U14 Boys Premier U14 Boys SCSL,NRU U14 Boys White U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Classic U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - Valley AFC,SVU U14 Boys U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - New River United,NRU U14 Boys White U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Valley AFC,SOCA Cville U14 Boys Premier U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Shenandoah Valley United,SOCA Cville U14 Boys Classic U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,NRU U14 Boys White U14 Boys SCSL,U14,Boys
z - Central Virginia United,SOCA Cville U14 Boys Classic U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - Shenandoah Valley United,SVU U14 Boys U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,SOCA Cville U14 Boys Classic U14 Boys SCSL,U14,Boys
z - Shenandoah Valley United,SOCA Cville U14 Boys Premier U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Valley AFC,CVU U14 Boys U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Valley AFC,SOCA Cville U14 Boys Classic U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Shenandoah Valley United,NRU U14 Boys White U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Valley AFC,NRU U14 Boys White U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Central Virginia United,CVU U14 Boys U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Central Virginia United,SOCA Cville U14 Boys Premier U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Classic U14 Boys SCSL,SVU U14 Boys U14 Boys SCSL,U14,Boys
z - Central Virginia United,NRU U14 Boys White U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - New River United,SOCA Cville U14 Boys Classic U14 Boys SCSL,NRU U14 Boys White U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Premier U14 Boys SCSL,CVU U14 Boys U14 Boys SCSL,U14,Boys
z - Charlottesville,SOCA Cville U14 Boys Classic U14 Boys SCSL,Valley FC U14 Boys U14 Boys SCSL,U14,Boys
Ridgeview #2,SOCA Cville 05 Boys White U15 Boys SCSL,SOCA Aug 05/04 Boys Classic U15 Boys SCSL,U15,Boys
Hoover Ridge Red Barn,Madison U13 U15 Boys SCSL,Luray Valley U13 U15 Boys SCSL,U15,Boys
Trevilians Elementary #1,SOCA Cville 05 Boys Blue U15 Boys SCSL,Louisa FC U13/15 U15 Boys SCSL,U15,Boys
