"Home","Away","Field"
"Beach FC St Patrick Wolfhounds N U10 Boys TASL","WBSC Gunners U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"Beach FC Pride U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CUSC Strikers U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Centerville Compex 9B"
"Portsmouth Hornets U10 Boys TASL","Beach FC Pride U10 Boys TASL","John Tyler Complex Field 3"
"TSA Rovers FC U10 Boys TASL","Beach FC St Patrick Wolfhounds N U10 Boys TASL","Wahrill Soccer Complex Field 2"
"CSL Thunderbolts U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Churchland Park Field  6"
"Portsmouth Hornets U10 Boys TASL","TSA Rovers FC U10 Boys TASL","John Tyler Complex Field 3"
"Beach FC Pride U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"CUSC Strikers U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Centerville Compex 9B"
"Portsmouth Hornets U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","John Tyler Complex Field 3"
"Portsmouth Hornets U10 Boys TASL","CUSC Strikers U10 Boys TASL","John Tyler Complex Field 3"
"CSL Thunderbolts U10 Boys TASL","CUSC Strikers U10 Boys TASL","Churchland Park Field  6"
"TSA Rovers FC U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Wahrill Soccer Complex Field 2"
"CUSC Strikers U10 Boys TASL","Beach FC Pride U10 Boys TASL","Centerville Compex 9B"
"CSL Thunderbolts U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Churchland Park Field  6"
"CSL Thunderbolts U10 Boys TASL","CUSC Strikers U10 Boys TASL","Churchland Park Field  6"
"CUSC Strikers U10 Boys TASL","Beach FC Pride U10 Boys TASL","Centerville Compex 9B"
"TSA Rovers FC U10 Boys TASL","CUSC Strikers U10 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Pride U10 Boys TASL","TSA Rovers FC U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"TSA Rovers FC U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Pride U10 Boys TASL","Portsmouth Hornets U10 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Pride U10 Boys TASL","CSL Thunderbolts U10 Boys TASL","Hampton Roads Soccer Complex Field 18A"
