"Names","Street Address","City","State","Zip Code"
"Scott Memorial Middle School","950 S Seventh St","Wytheville","VA","24382"
"Seneca","1501 Seneca Drive","Blacksburg","VA","24060"
"Smith River Sports Complex","1000 Irisburg Road","Axton","VA","24054"
"Southern Virginia University","1 Knights Drive","Buena Vista","VA","24416"
"St John's Place","72 St Johns Place Rd","Salem","VA","24153"
"Stewartsville Elementary School","1138 Wildcat Road","Goodview","VA","24095"
"Sweet Briar College","134 Chapel Rd","Sweet Briar","VA","24595"
"TBD",,,,
"Temple Baptist","4465 S Amherst Highway","Madison Heights","VA","24572"
"The Rose Garden-Blacksburg Rugby","Country Club Drive","Blacksburg","VA","24060"
"Timberlake Christian School","202 Horizon Drive","Forest","VA","24551"
"TMD","3994 Pepperell Way","Dublin","VA","24084"
"Troutville Elementary","Troutville","VA",,
"Va Tech Rec Sports Turf (VTRST)","605 Research Center Drive","Blacksburg","VA","24060"
"Veterans Administration Med Ctr","1970 Roanoke Boulevard","Salem","VA","24153"
"Vinyard East","151 Berkley Road","Roanoke","VA","24012"
"Vinyard West","Vinton","VA",,
"Virginia Tech Turf","185 Beamer Way","Blacksburg","VA","24060"
"Waid Park","701 Waid Park Road","Rocky Mount","VA","24151"
"Washington & Lee University Liberty Hall","W Denny Cir and Augusta Square","Lexington","VA","24450"
"Washington Coleman School","1927 Jeffress Blvd","South Boston","VA","24592"
"William Fleming High School","3601 Ferncliff Ave NW","Roanoke","VA","24017"
"Woodlawn","787 Woodlawn Road","Woodlawn","VA","24381"
"Woodrow Wilson Mem. High School","Fishersville","VA",,
